instance,metric,runs,best,mean,median,worst,standard_deviation
c101C5,feasibility_rate,3,,1.0,,,
c101C5,vehicle_count,3,3.0,3.0,3.0,3.0,0.0
c101C5,total_distance,3,247.14970649404418,247.14970649404418,247.14970649404418,247.14970649404418,0.0
c101C5,total_energy,3,247.14970649404418,247.14970649404418,247.14970649404418,247.14970649404418,0.0
c101C5,total_charged_energy,3,68.18245235854639,68.18245235854639,68.18245235854639,68.18245235854639,0.0
c101C5,total_charging_time,3,236.593109684156,236.59310968415602,236.593109684156,236.593109684156,0.0
c101C5,runtime_seconds,3,0.014169541995215695,0.014700194665541252,0.01479641700279899,0.01513462499860907,0.00039982525724804695
c101C5,iterations,3,1000.0,1000.0,1000.0,1000.0,0.0
c101C5,accepted_moves,3,998.0,999.3333333333334,1000.0,1000.0,0.9428090415820634
c101C5,improving_moves,3,1.0,2.3333333333333335,3.0,3.0,0.9428090415820634
c101C5,rejected_moves,3,0.0,0.6666666666666666,0.0,2.0,0.9428090415820634
c101C5,charging_subproblem_calls,3,44.0,49.0,49.0,54.0,4.08248290463863
c101C5,charging_subproblem_average_seconds,3,0.00012327616598297567,0.00012404199714455508,0.00012418032625015368,0.00012466949920053594,5.771744796165705e-07
c101_21,feasibility_rate,3,,1.0,,,
c101_21,vehicle_count,3,14.0,14.0,14.0,14.0,0.0
c101_21,total_distance,3,1225.7498805744158,1233.3425701409544,1237.1389149242236,1237.1389149242236,5.368842279943766
c101_21,total_energy,3,1225.7498805744158,1233.3425701409544,1237.1389149242236,1237.1389149242236,5.368842279943766
c101_21,total_charged_energy,3,420.9506587178399,431.86117299441594,437.316430132704,437.316430132704,7.714898631199588
c101_21,total_charging_time,3,1427.0227330534772,1464.0093764510702,1482.5026981498668,1482.5026981498668,26.153506359766705
c101_21,runtime_seconds,3,30.00418858299963,30.005841416663316,30.00616133299627,30.007174333994044,0.0012397411276088139
c101_21,iterations,3,7.0,6.333333333333333,6.0,6.0,0.4714045207910317
c101_21,accepted_moves,3,5.0,5.333333333333333,5.0,6.0,0.4714045207910317
c101_21,improving_moves,3,1.0,1.6666666666666667,1.0,3.0,0.9428090415820634
c101_21,rejected_moves,3,0.0,0.0,0.0,0.0,0.0
c101_21,charging_subproblem_calls,3,2018.0,2062.6666666666665,2058.0,2112.0,38.51695153507811
c101_21,charging_subproblem_average_seconds,3,0.014078288161499586,0.014460799978686073,0.014507657752675214,0.014796454021883416,0.0002950562533852653
c104C10,feasibility_rate,3,,1.0,,,
c104C10,vehicle_count,3,2.0,2.0,2.0,2.0,0.0
c104C10,total_distance,3,273.9312371287162,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924
c104C10,total_energy,3,273.9312371287162,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924
c104C10,total_charged_energy,3,169.78416126570522,176.74244117435285,180.22158112867666,180.22158112867666,4.9202469087988465
c104C10,total_charging_time,3,589.1510395919971,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012
c104C10,runtime_seconds,3,0.3443077089978033,0.48182188900197315,0.38154600000416394,0.7196119580039522,0.1688288290275944
c104C10,iterations,3,1000.0,1000.0,1000.0,1000.0,0.0
c104C10,accepted_moves,3,949.0,965.3333333333334,967.0,980.0,12.710450643291745
c104C10,improving_moves,3,6.0,10.666666666666666,8.0,18.0,5.2493385826745405
c104C10,rejected_moves,3,20.0,34.666666666666664,33.0,51.0,12.710450643291745
c104C10,charging_subproblem_calls,3,737.0,1035.0,763.0,1605.0,403.1906083562298
c104C10,charging_subproblem_average_seconds,3,0.00040444545326395883,0.00042290155675950134,0.00041469568359927416,0.0004495635334152709,1.9311698611227968e-05
c106C15,feasibility_rate,3,,1.0,,,
c106C15,vehicle_count,3,3.0,3.0,3.0,3.0,0.0
c106C15,total_distance,3,275.1331688731623,275.1331688731623,275.1331688731623,275.1331688731623,0.0
c106C15,total_energy,3,275.1331688731623,275.1331688731623,275.1331688731623,275.1331688731623,0.0
c106C15,total_charged_energy,3,126.22178535625447,126.22178535625447,126.22178535625447,126.22178535625447,0.0
c106C15,total_charging_time,3,437.989595186203,437.98959518620296,437.989595186203,437.989595186203,0.0
c106C15,runtime_seconds,3,1.1768636249980773,1.2419122916665704,1.236362374998862,1.312510875002772,0.055516635883447435
c106C15,iterations,3,1000.0,1000.0,1000.0,1000.0,0.0
c106C15,accepted_moves,3,978.0,979.3333333333334,979.0,981.0,1.247219128924647
c106C15,improving_moves,3,12.0,15.333333333333334,17.0,17.0,2.3570226039551585
c106C15,rejected_moves,3,19.0,20.666666666666668,21.0,22.0,1.247219128924647
c106C15,charging_subproblem_calls,3,3530.0,3681.6666666666665,3638.0,3877.0,144.98812211886724
c106C15,charging_subproblem_average_seconds,3,0.0003139635341218211,0.00031821609420603925,0.0003199091495284461,0.00032077559896785045,3.0277476898595673e-06
r101_21,feasibility_rate,3,,1.0,,,
r101_21,vehicle_count,3,22.0,24.333333333333332,23.0,28.0,2.6246692913372702
r101_21,total_distance,3,1788.215596960292,1904.0433680353756,1832.1374527829876,2091.7770543628476,133.95331298952286
r101_21,total_energy,3,1788.215596960292,1904.0433680353756,1832.1374527829876,2091.7770543628476,133.95331298952286
r101_21,total_charged_energy,3,820.7012314618246,842.2535060244876,836.9325451726427,869.1267414389955,20.124478832629343
r101_21,total_charging_time,3,393.93659110167573,404.281682891754,401.72762168286846,417.18083589071784,9.659749839662112
r101_21,runtime_seconds,3,30.000152332999278,30.003130652335432,30.001781208004104,30.00745841600292,0.0031316089811832732
r101_21,iterations,3,7.0,6.666666666666667,7.0,6.0,0.4714045207910317
r101_21,accepted_moves,3,5.0,5.666666666666667,6.0,6.0,0.4714045207910317
r101_21,improving_moves,3,3.0,3.6666666666666665,4.0,4.0,0.4714045207910317
r101_21,rejected_moves,3,0.0,0.0,0.0,0.0,0.0
r101_21,charging_subproblem_calls,3,2128.0,2179.0,2197.0,2212.0,36.578682316343766
r101_21,charging_subproblem_average_seconds,3,0.013479179980504588,0.01368742766803289,0.013570048912566302,0.01401305411102778,0.00023322196292607496
r103C10,feasibility_rate,3,,1.0,,,
r103C10,vehicle_count,3,3.0,3.0,3.0,3.0,0.0
r103C10,total_distance,3,202.85268574464004,202.85268574464007,202.85268574464004,202.85268574464004,0.0
r103C10,total_energy,3,202.85268574464004,202.85268574464007,202.85268574464004,202.85268574464004,0.0
r103C10,total_charged_energy,3,62.15853602829506,70.45790254234521,62.15853602829506,87.05663557044551,11.737076683274838
r103C10,total_charging_time,3,30.45768265386458,34.524372245749156,30.45768265386458,42.6577514295183,5.75116757480467
r103C10,runtime_seconds,3,0.4893494170028134,0.5336114863360611,0.5137539580027806,0.5977310840025893,0.04642116980461148
r103C10,iterations,3,1000.0,1000.0,1000.0,1000.0,0.0
r103C10,accepted_moves,3,925.0,945.6666666666666,954.0,958.0,14.704496666741852
r103C10,improving_moves,3,55.0,56.666666666666664,57.0,58.0,1.247219128924647
r103C10,rejected_moves,3,42.0,54.333333333333336,46.0,75.0,14.704496666741852
r103C10,charging_subproblem_calls,3,1320.0,1437.3333333333333,1441.0,1551.0,94.34098908863645
r103C10,charging_subproblem_average_seconds,3,0.00032772320261960114,0.00034172045811695887,0.0003395618789275459,0.0003578762928037295,1.240421460635508e-05
r105C15,feasibility_rate,3,,1.0,,,
r105C15,vehicle_count,3,4.0,4.0,4.0,4.0,0.0
r105C15,total_distance,3,336.1536020996758,336.1536020996758,336.1536020996758,336.1536020996758,0.0
