instance,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101_21,runtime_seconds,standard_deviation,0.0008935397730471633,0.0012397411276088139,0.0003462013545616505,0.38744929437335424,regression,pass,candidate regressed because lower runtime_seconds standard_deviation is better
c101_21,total_charged_energy,best,437.316430132704,420.9506587178399,-16.365771414864128,-0.037423179846908385,improvement,pass,candidate improved because lower total_charged_energy best is better
c101_21,total_charged_energy,mean,437.316430132704,431.86117299441594,-5.4552571382880615,-0.01247439328230284,improvement,pass,candidate improved because lower total_charged_energy mean is better
c101_21,total_charged_energy,median,437.316430132704,437.316430132704,0.0,0.0,unchanged,pass,total_charged_energy median is equal within tolerance 1e-09
c101_21,total_charged_energy,worst,437.316430132704,437.316430132704,0.0,0.0,unchanged,pass,total_charged_energy worst is equal within tolerance 1e-09
c101_21,total_charged_energy,standard_deviation,0.0,7.714898631199588,7.714898631199588,7714898631.199588,regression,pass,candidate regressed because lower total_charged_energy standard_deviation is better
c101_21,total_charging_time,best,1482.5026981498668,1427.0227330534772,-55.479965096389606,-0.03742317984690852,improvement,pass,candidate improved because lower total_charging_time best is better
c101_21,total_charging_time,mean,1482.5026981498668,1464.0093764510702,-18.493321698796535,-0.012474393282302841,improvement,pass,candidate improved because lower total_charging_time mean is better
c101_21,total_charging_time,median,1482.5026981498668,1482.5026981498668,0.0,0.0,unchanged,pass,total_charging_time median is equal within tolerance 1e-09
c101_21,total_charging_time,worst,1482.5026981498668,1482.5026981498668,0.0,0.0,unchanged,pass,total_charging_time worst is equal within tolerance 1e-09
c101_21,total_charging_time,standard_deviation,0.0,26.153506359766705,26.153506359766705,26153506359.766705,regression,pass,candidate regressed because lower total_charging_time standard_deviation is better
c101_21,total_distance,best,1234.5032876506266,1225.7498805744158,-8.753407076210806,-0.007090630834097935,improvement,pass,candidate improved because lower total_distance best is better
c101_21,total_distance,mean,1236.2603724996914,1233.3425701409544,-2.9178023587369353,-0.0023601843298084553,improvement,pass,candidate improved because lower total_distance mean is better
c101_21,total_distance,median,1237.1389149242236,1237.1389149242236,0.0,0.0,unchanged,pass,total_distance median is equal within tolerance 1e-09
c101_21,total_distance,worst,1237.1389149242236,1237.1389149242236,0.0,0.0,unchanged,pass,total_distance worst is equal within tolerance 1e-09
c101_21,total_distance,standard_deviation,1.242446611893785,5.368842279943766,4.126395668049981,3.3211854968644245,regression,pass,candidate regressed because lower total_distance standard_deviation is better
c101_21,total_energy,best,1234.5032876506266,1225.7498805744158,-8.753407076210806,-0.007090630834097935,improvement,pass,candidate improved because lower total_energy best is better
c101_21,total_energy,mean,1236.2603724996914,1233.3425701409544,-2.9178023587369353,-0.0023601843298084553,improvement,pass,candidate improved because lower total_energy mean is better
c101_21,total_energy,median,1237.1389149242236,1237.1389149242236,0.0,0.0,unchanged,pass,total_energy median is equal within tolerance 1e-09
c101_21,total_energy,worst,1237.1389149242236,1237.1389149242236,0.0,0.0,unchanged,pass,total_energy worst is equal within tolerance 1e-09
