instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
rc101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1968.1000951143212,1968.4857358588588,0.385640744537568,0.00019594569681435196,regression,pass,descriptive comparison
rc101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,346.91528995511345,347.20678376482664,0.29149380971318806,0.0008402449190143904,regression,pass,descriptive comparison
rc101_21,stage02_2,stage02_constraint_guided,charging_count,mean,20.0,20.0,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_2,stage02_constraint_guided,objective,best,"[4,423.510181924,69.382613231,3]","[4,423.510181924,69.382613231,3]",,,equal,pass,vehicle-first objective comparison
rc102C10,stage02_2,stage02_constraint_guided,vehicle_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_2,stage02_constraint_guided,total_distance,mean,423.5101819239308,423.5101819239308,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_2,stage02_constraint_guided,total_charging_time,mean,69.38261323056489,69.38261323056489,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_2,stage02_constraint_guided,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_2,stage02_constraint_guided,objective,best,"[4,397.669856913,67.687714099,4]","[4,397.669856913,67.687714099,4]",,,equal,pass,vehicle-first objective comparison
rc103C15,stage02_2,stage02_constraint_guided,vehicle_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_2,stage02_constraint_guided,total_distance,mean,397.66985691304916,397.66985691304916,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_2,stage02_constraint_guided,total_charging_time,mean,67.68771409904316,67.68771409904316,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_2,stage02_constraint_guided,charging_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_2,stage02_constraint_guided,objective,best,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",,,equal,pass,vehicle-first objective comparison
rc105C5,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_2,stage02_constraint_guided,total_distance,mean,241.29639187672765,241.29639187672765,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_2,stage02_constraint_guided,total_charging_time,mean,59.789763585628236,59.789763585628236,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_2,stage02_constraint_guided,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
