instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,median_vehicle_count,worst_vehicle_count,standard_deviation_vehicle_count,mean_total_distance,median_total_distance,worst_total_distance,standard_deviation_total_distance,mean_total_charging_time,median_total_charging_time,worst_total_charging_time,standard_deviation_total_charging_time,mean_charging_count,median_charging_count,worst_charging_count,standard_deviation_charging_count,mean_runtime_seconds,median_runtime_seconds,worst_runtime_seconds,standard_deviation_runtime_seconds,mean_iterations,median_iterations,worst_iterations,standard_deviation_iterations
c101C5,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,2.0,2.0,0.0,257.7474518641999,257.7474518641999,257.7474518641999,0.0,472.55670005197175,472.55670005197175,472.55670005197175,0.0,3.0,3.0,3.0,0.0,0.04791704200033564,0.04772950000187848,0.04871708400605712,0.000591719379155058,1000.0,1000.0,1000.0,0.0
c101_21,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[12,1055.920259047,1386.415951629,8]",12,1055.9202590469108,1386.4159516285367,8,12.0,12.0,12.0,0.0,1062.8618914331591,1055.9202590469108,1076.7451562056556,9.816950665640592,1332.7144308589852,1386.4159516285367,1386.4159516285367,75.94541899235998,7.666666666666667,8.0,8.0,0.4714045207910317,30.00552937499985,30.00634937499126,30.009857750002993,0.0039120751202036475,25.666666666666668,26.0,29.0,2.8674417556808756
c104C10,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,2.0,2.0,0.0,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012,3.0,3.0,3.0,0.0,0.975220638991838,0.9300315419968683,1.1034339999896474,0.0919669303586686,1000.0,1000.0,1000.0,0.0
c106C15,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,3.0,3.0,0.0,275.1331688731623,275.1331688731623,275.1331688731623,0.0,437.98959518620296,437.989595186203,437.989595186203,0.0,2.0,2.0,2.0,0.0,1.6967733613273595,1.7740358329901937,1.9548244170000544,0.2483243836030051,1000.0,1000.0,1000.0,0.0
r101_21,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[20,1799.548688513,463.254013128,27]",20,1799.5486885134083,463.25401312804536,27,20.666666666666668,21.0,21.0,0.4714045207910317,1812.683201209865,1819.2504575580936,1819.2504575580936,9.28750299524546,449.3485036151181,442.39574885865443,463.25401312804536,9.83268007244493,26.333333333333332,26.0,27.0,0.4714045207910317,30.01219138899857,30.005129917000886,30.026921625001705,0.010418800008534297,45.0,48.0,51.0,6.48074069840786
r103C10,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,207.051154172,49.247992351,3]",2,207.0511541721048,49.24799235093133,3,2.0,2.0,2.0,0.0,207.85586985323093,207.0511541721048,209.46530121548315,1.1380398301028636,48.75151234354644,49.24799235093133,49.24799235093133,0.7021287598908047,2.6666666666666665,3.0,3.0,0.4714045207910317,0.7925566526634308,0.8095249999896623,0.9822548329975689,0.16225944049398286,1000.0,1000.0,1000.0,0.0
r105C15,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,4.0,4.0,0.0,343.7192122947591,338.8885439761397,356.1154908084618,8.836317766614256,84.77248102152096,80.68409221221032,92.94925864014223,5.781854902381495,4.0,4.0,4.0,0.0,1.7974324586684816,1.8829020419943845,1.9545660840085475,0.17402331524007475,1000.0,1000.0,1000.0,0.0
r105C5,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,2.0,2.0,0.0,156.08206946417084,156.08206946417084,156.08206946417084,0.0,44.159902941361445,44.159902941361445,44.159902941361445,0.0,2.0,2.0,2.0,0.0,0.04089520800334867,0.0409693330002483,0.041182333006872796,0.0002698375101304851,1000.0,1000.0,1000.0,0.0
rc101_21,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[19,1925.362709303,325.819224421,19]",19,1925.3627093025516,325.8192244207476,19,19.333333333333332,19.0,20.0,0.4714045207910317,1968.1000951143212,1967.4980787393333,2011.4394973010783,35.14327983007697,346.91528995511345,339.2084159158358,375.71822952875686,21.08750986224234,20.0,20.0,21.0,0.816496580927726,30.015985805667395,30.02222145900305,30.025383457992575,0.011129532599239744,23.666666666666668,23.0,25.0,0.9428090415820634
rc102C10,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,4.0,4.0,0.0,423.5101819239308,423.5101819239308,423.5101819239308,0.0,69.38261323056489,69.38261323056489,69.38261323056489,0.0,3.0,3.0,3.0,0.0,0.25439712466322817,0.2522625409910688,0.26389149999886286,0.007044291868766715,1000.0,1000.0,1000.0,0.0
rc103C15,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[4,397.669856913,67.687714099,4]",4,397.6698569130491,67.68771409904316,4,4.0,4.0,4.0,0.0,397.66985691304916,397.6698569130491,397.6698569130491,0.0,67.68771409904316,67.68771409904316,67.68771409904316,0.0,4.0,4.0,4.0,0.0,1.0648713470000075,1.051802415997372,1.1085070830013137,0.031671248695276176,1000.0,1000.0,1000.0,0.0
rc105C5,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,241.296391877,59.789763586,3]",2,241.29639187672765,59.789763585628236,3,2.0,2.0,2.0,0.0,241.29639187672765,241.29639187672765,241.29639187672765,0.0,59.789763585628236,59.789763585628236,59.789763585628236,0.0,3.0,3.0,3.0,0.0,0.04464808366416643,0.04434579199005384,0.04540800000540912,0.0005410709866833266,1000.0,1000.0,1000.0,0.0
