run_label,instance,seed,started_calls,completed_calls,exact_calls,cache_hits,precomputed_routes,deadline_events,screening_calls,screening_passes,screening_rejections,screening_cache_hits,screening_exact_call_blocked,screening_reason_counts,reconciliation_status,reconciliation_checks
stage031_cheap_screening_formal01,c106C15,2015,1414,1414,1414,54105,8,0,178753,72434,4775,101544,106319,"{""forward_time_window_prefilter"": 106319}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,c106C15,2016,1756,1756,1756,56073,27,0,186783,77624,5459,103700,109159,"{""forward_time_window_prefilter"": 109159}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r101_21,2014,1681,1681,1681,32349,98,5,580966,84128,67754,429084,496838,"{""capacity_prefilter"": 5809, ""forward_time_window_prefilter"": 491029}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r101_21,2015,1549,1549,1549,44343,86,9,692501,102595,59159,530747,589906,"{""capacity_prefilter"": 3066, ""forward_time_window_prefilter"": 586840}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r101_21,2016,1569,1569,1569,37325,98,9,596374,90261,56580,449533,506113,"{""capacity_prefilter"": 3555, ""forward_time_window_prefilter"": 502558}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r103C10,2014,636,636,636,22566,249,0,63394,36608,1258,25528,26786,"{""forward_time_window_prefilter"": 26786}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r103C10,2015,927,927,927,24134,237,0,62837,36440,1750,24647,26397,"{""forward_time_window_prefilter"": 26397}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r103C10,2016,1005,1005,1005,22697,189,0,62701,36387,2008,24306,26314,"{""forward_time_window_prefilter"": 26314}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r105C15,2014,449,449,449,35791,8,0,176994,47725,2900,126369,129269,"{""forward_time_window_prefilter"": 129269}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r105C15,2015,540,540,540,37473,33,0,178890,50942,3867,124081,127948,"{""forward_time_window_prefilter"": 127948}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r105C15,2016,544,544,544,35368,11,0,169574,47610,4228,117736,121964,"{""forward_time_window_prefilter"": 121964}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r105C5,2014,38,38,38,5823,0,0,13708,7355,46,6307,6353,"{""forward_time_window_prefilter"": 6353}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r105C5,2015,38,38,38,5812,0,0,13557,7343,46,6168,6214,"{""forward_time_window_prefilter"": 6214}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,r105C5,2016,38,38,38,5876,0,0,13891,7483,43,6365,6408,"{""forward_time_window_prefilter"": 6408}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc101_21,2014,1763,1763,1763,19709,96,9,381375,28750,45132,307493,352625,"{""capacity_prefilter"": 12348, ""forward_time_window_prefilter"": 340277}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc101_21,2015,1682,1682,1682,21329,96,5,463650,30436,50621,382593,433214,"{""capacity_prefilter"": 16815, ""forward_time_window_prefilter"": 416399}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc101_21,2016,1737,1737,1737,20185,96,10,354737,28577,46115,280045,326160,"{""capacity_prefilter"": 10604, ""forward_time_window_prefilter"": 315556}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc102C10,2014,183,183,183,19847,26,0,73947,25908,742,47297,48039,"{""forward_time_window_prefilter"": 48039}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc102C10,2015,172,172,172,20030,28,0,73950,26065,734,47151,47885,"{""forward_time_window_prefilter"": 47885}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc102C10,2016,185,185,185,19374,32,0,74351,25867,876,47608,48484,"{""forward_time_window_prefilter"": 48484}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc103C15,2014,1088,1088,1088,50972,25,0,180497,76390,2275,101832,104107,"{""forward_time_window_prefilter"": 104107}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc103C15,2015,976,976,976,51452,13,0,180319,75824,2214,102281,104495,"{""forward_time_window_prefilter"": 104495}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc103C15,2016,1077,1077,1077,50681,35,0,177993,75031,2223,100739,102962,"{""forward_time_window_prefilter"": 102962}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc105C5,2014,43,43,43,5207,56,0,13344,6477,66,6801,6867,"{""forward_time_window_prefilter"": 6867}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc105C5,2015,42,42,42,5195,64,0,13327,6489,61,6777,6838,"{""forward_time_window_prefilter"": 6838}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage031_cheap_screening_formal01,rc105C5,2016,42,42,42,5228,72,0,13404,6444,62,6898,6960,"{""forward_time_window_prefilter"": 6960}",pass,"{""accepted_moves_equal_result"": true, ""cache_hits_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
