run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt03,c101C5,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,c101C5,2014,cache_hits,2696
stage03.2_cache_incremental_attempt03,c101C5,2014,cache_lookups,2713
stage03.2_cache_incremental_attempt03,c101C5,2014,cache_misses,17
stage03.2_cache_incremental_attempt03,c101C5,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c101C5,2014,cache_stores,17
stage03.2_cache_incremental_attempt03,c101C5,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c101C5,2014,incremental_propagations,17
stage03.2_cache_incremental_attempt03,c101C5,2015,cache_evictions,0
stage03.2_cache_incremental_attempt03,c101C5,2015,cache_hits,2577
stage03.2_cache_incremental_attempt03,c101C5,2015,cache_lookups,2594
stage03.2_cache_incremental_attempt03,c101C5,2015,cache_misses,17
stage03.2_cache_incremental_attempt03,c101C5,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c101C5,2015,cache_stores,17
stage03.2_cache_incremental_attempt03,c101C5,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c101C5,2015,incremental_propagations,17
stage03.2_cache_incremental_attempt03,c101C5,2016,cache_evictions,0
stage03.2_cache_incremental_attempt03,c101C5,2016,cache_hits,2674
stage03.2_cache_incremental_attempt03,c101C5,2016,cache_lookups,2691
stage03.2_cache_incremental_attempt03,c101C5,2016,cache_misses,17
stage03.2_cache_incremental_attempt03,c101C5,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt03,c101C5,2016,cache_stores,17
stage03.2_cache_incremental_attempt03,c101C5,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt03,c101C5,2016,incremental_propagations,17
stage03.2_cache_incremental_attempt03,c101_21,2014,cache_evictions,0
stage03.2_cache_incremental_attempt03,c101_21,2014,cache_hits,23483
stage03.2_cache_incremental_attempt03,c101_21,2014,cache_lookups,24720
stage03.2_cache_incremental_attempt03,c101_21,2014,cache_misses,1237
stage03.2_cache_incremental_attempt03,c101_21,2014,cache_oversize_not_cached,0
