instance,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_runtime_seconds,median_runtime_seconds,mean_trace_exact_calls,median_trace_exact_calls,mean_trace_cache_hits,median_trace_cache_hits,mean_trace_precomputed_routes,median_trace_precomputed_routes,mean_screening_calls,median_screening_calls,mean_screening_rejections,median_screening_rejections,mean_screening_cache_hits,median_screening_cache_hits,mean_effective_iterations,median_effective_iterations
c101C5,3,3,1.0,"[2, 257.747451864, 472.556700052, 3]",2,257.747451864,472.556700052,3,0.24574288899505822,0.24615062499651685,17.0,17,4328.0,4352,0.0,0,13289.333333333334,13330,61.0,61,7486.333333333333,7478,1000.0,1000
c101_21,3,3,1.0,"[12, 1055.920259047, 1386.415951629, 8]",12,1055.920259047,1386.415951629,8,30.00652531933156,30.001964625000255,965.3333333333334,1178,17027.666666666668,21069,12.0,12,424058.3333333333,518001,26581.333333333332,30541,349384.6666666667,432273,152.0,193
c104C10,3,3,1.0,"[2, 273.931237129, 589.151039592, 3]",2,273.931237129,589.151039592,3,2.996824055328034,2.9568250000011176,1776.3333333333333,1597,38116.0,38279,3.6666666666666665,2,69497.33333333333,70129,596.3333333333334,487,9385.0,9062,1000.0,1000
c106C15,3,3,1.0,"[3, 275.133168873, 437.989595186, 2]",3,275.133168873,437.989595186,2,3.8472705836757086,3.8921716250188183,1417.6666666666667,1475,55821.0,55372,20.333333333333332,22,184365.33333333334,185212,5261.333333333333,5446,104026.33333333333,103267,1000.0,1000
r101_21,3,3,1.0,"[20, 1718.126450884, 387.496489613, 24]",20,1718.126450884,387.496489613,24,30.004359375006363,30.00201975001255,1448.0,1470,35727.666666666664,34782,127.0,120,677147.0,686274,60109.0,59599,526994.3333333334,526979,305.0,298
r103C10,3,3,1.0,"[2, 207.051154172, 49.247992351, 3]",2,207.051154172,49.247992351,3,1.6491360833363917,1.5933629169885535,931.6666666666666,863,20703.666666666668,20673,53.666666666666664,54,60752.0,60986,2097.3333333333335,2073,26517.333333333332,26458,1000.0,1000
r105C15,3,3,1.0,"[4, 336.1536021, 80.684092212, 4]",4,336.1536021,80.684092212,4,2.5598689723313632,2.5975443329953123,412.3333333333333,412,36102.666666666664,35970,17.666666666666668,18,174592.0,175708,3626.3333333333335,3677,122619.66666666667,122715,1000.0,1000
r105C5,3,3,1.0,"[2, 156.082069464, 44.159902941, 2]",2,156.082069464,44.159902941,2,0.29000301400083117,0.2884280830039643,22.0,22,5868.0,5854,0.0,0,13861.666666666666,13851,51.0,52,6311.0,6338,1000.0,1000
rc101_21,3,3,1.0,"[17, 1859.245198811, 277.117471294, 19]",17,1859.245198811,277.117471294,19,30.0087926806591,30.011629749991698,1551.6666666666667,1568,18312.0,18605,128.33333333333334,135,429488.0,413423,45843.333333333336,44122,310988.3333333333,297231,171.66666666666666,171
rc102C10,3,3,1.0,"[4, 423.510181924, 69.382613231, 3]",4,423.510181924,69.382613231,3,1.0363250416606509,1.0198017089860514,132.33333333333334,136,19793.666666666668,19895,31.0,31,74171.0,74063,785.6666666666666,742,47449.0,47415,1000.0,1000
rc103C15,3,3,1.0,"[4, 397.669856913, 67.687714099, 4]",4,397.669856913,67.687714099,4,3.544383347335194,3.4045473750156816,840.0,848,51546.666666666664,51860,32.0,24,183381.66666666666,183047,2307.3333333333335,2297,103124.33333333333,103668,1000.0,1000
rc105C5,3,3,1.0,"[2, 241.296391877, 59.789763586, 3]",2,241.296391877,59.789763586,3,0.2677238193379405,0.26806679100263864,22.0,22,5247.333333333333,5245,63.0,63,13604.333333333334,13590,62.0,61,6854.333333333333,6830,1000.0,1000
