instance,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_runtime_seconds,median_runtime_seconds,mean_trace_exact_calls,median_trace_exact_calls,mean_trace_cache_hits,median_trace_cache_hits,mean_trace_precomputed_routes,median_trace_precomputed_routes,mean_screening_calls,median_screening_calls,mean_screening_rejections,median_screening_rejections,mean_screening_cache_hits,median_screening_cache_hits,mean_effective_iterations,median_effective_iterations
c101C5,3,3,1.0,"[2, 257.747451864, 472.556700052, 3]",2,257.747451864,472.556700052,3,0.18729434732813388,0.18915024999296293,27.666666666666668,28,4314.333333333333,4338,0.0,0,13275.333333333334,13316,61.0,61,7478.333333333333,7470,1000.0,1000
c101_21,3,3,1.0,"[12, 1055.920259047, 1386.415951629, 8]",12,1055.920259047,1386.415951629,8,30.00378388899844,30.00463579199277,1288.3333333333333,1306,25652.0,25548,12.0,12,569314.6666666666,547314,31344.0,31463,477725.3333333333,456334,246.0,247
r101_21,3,3,1.0,"[20, 1718.126450884, 387.496489613, 24]",20,1718.126450884,387.496489613,24,30.004907528001542,30.00673729200207,1608.0,1577,38447.0,37276,94.0,98,624731.6666666666,593651,61332.666666666664,59901,470629.6666666667,447067,338.0,337
r105C5,3,3,1.0,"[2, 156.082069464, 44.159902941, 2]",2,156.082069464,44.159902941,2,0.2058472920083053,0.20679358301276807,38.0,38,5837.0,5823,0.0,0,13718.666666666666,13708,45.0,46,6280.0,6307,1000.0,1000
rc101_21,3,3,1.0,"[17, 1858.973974128, 299.399931109, 19]",17,1858.973974128,299.399931109,19,30.00259530566109,30.000537582993275,1753.6666666666667,1774,21025.666666666668,20799,96.0,96,408201.0,385772,47923.0,47256,330250.3333333333,310585,202.0,196
rc105C5,3,3,1.0,"[2, 241.296391877, 59.789763586, 3]",2,241.296391877,59.789763586,3,0.19868372233759146,0.1972362500091549,42.333333333333336,42,5210.0,5207,64.0,64,13358.333333333334,13344,63.0,62,6825.333333333333,6801,1000.0,1000
