instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,median_vehicle_count,worst_vehicle_count,standard_deviation_vehicle_count,mean_total_distance,median_total_distance,worst_total_distance,standard_deviation_total_distance,mean_total_charging_time,median_total_charging_time,worst_total_charging_time,standard_deviation_total_charging_time,mean_charging_count,median_charging_count,worst_charging_count,standard_deviation_charging_count,mean_runtime_seconds,median_runtime_seconds,worst_runtime_seconds,standard_deviation_runtime_seconds,mean_iterations,median_iterations,worst_iterations,standard_deviation_iterations
c101C5,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,2.0,2.0,0.0,257.7474518641999,257.7474518641999,257.7474518641999,0.0,472.55670005197175,472.55670005197175,472.55670005197175,0.0,3.0,3.0,3.0,0.0,0.07450101366460633,0.07415924999804702,0.0751976250030566,0.0004926075621573963,1000.0,1000.0,1000.0,0.0
c101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[12,1055.920259047,1386.415951629,8]",12,1055.9202590469108,1386.4159516285367,8,12.0,12.0,12.0,0.0,1055.9202590469108,1055.9202590469108,1055.9202590469108,0.0,1386.415951628537,1386.4159516285367,1386.4159516285367,0.0,8.0,8.0,8.0,0.0,30.00728555533472,30.009051625005668,30.01064658300311,0.0036834149099829955,22.0,22.0,25.0,2.449489742783178
c104C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,2.0,2.0,0.0,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012,3.0,3.0,3.0,0.0,1.2415503889981967,1.2454425000032643,1.3958425000018906,0.12759761248885632,1000.0,1000.0,1000.0,0.0
c106C15,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,3.0,3.0,0.0,282.8197955011379,275.1331688731623,298.1930487570892,10.87053162618131,447.60227310060736,437.989595186203,466.82762892941594,13.594379477274888,2.0,2.0,2.0,0.0,1.910574847337557,1.8802940830064472,2.129136584000662,0.1674672922931024,1000.0,1000.0,1000.0,0.0
r101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[20,1799.548688513,463.254013128,27]",20,1799.5486885134083,463.25401312804536,27,20.666666666666668,21.0,21.0,0.4714045207910317,1812.683201209865,1819.2504575580936,1819.2504575580936,9.28750299524546,449.3485036151181,442.39574885865443,463.25401312804536,9.83268007244493,26.333333333333332,26.0,27.0,0.4714045207910317,30.00331127733322,30.002217083005235,30.00707154099655,0.002735249516101545,52.0,55.0,58.0,6.48074069840786
r103C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,207.051154172,49.247992351,3]",2,207.0511541721048,49.24799235093133,3,2.0,2.0,2.0,0.0,207.85586985323093,207.0511541721048,209.46530121548315,1.1380398301028636,48.75151234354644,49.24799235093133,49.24799235093133,0.7021287598908047,2.6666666666666665,3.0,3.0,0.4714045207910317,0.904771819327531,0.9219856249983422,1.0923997919890098,0.1606867816395861,1000.0,1000.0,1000.0,0.0
r105C15,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,4.0,4.0,0.0,337.0652493918305,336.1536020996758,338.8885439761397,1.2892639646657862,80.68409221221032,80.68409221221032,80.68409221221032,0.0,4.0,4.0,4.0,0.0,2.0374125970023065,2.131133625007351,2.2666999579960248,0.23501116595129568,1000.0,1000.0,1000.0,0.0
r105C5,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,2.0,2.0,0.0,156.08206946417084,156.08206946417084,156.08206946417084,0.0,44.159902941361445,44.159902941361445,44.159902941361445,0.0,2.0,2.0,2.0,0.0,0.06831106933532283,0.06855058300425299,0.06868258400936611,0.0004354099932059212,1000.0,1000.0,1000.0,0.0
rc101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[19,1925.362709303,325.819224421,19]",19,1925.3627093025516,325.8192244207476,19,19.333333333333332,19.0,20.0,0.4714045207910317,1968.4857358588588,1967.4980787393333,2012.5964195346917,35.619860098504574,347.20678376482664,339.2084159158358,376.5927109578965,21.485920195488283,20.0,20.0,21.0,0.816496580927726,30.00370369432979,30.004578291001962,30.00461083299888,0.0012599471854297163,29.0,28.0,31.0,1.4142135623730951
rc102C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,4.0,4.0,0.0,423.5101819239308,423.5101819239308,423.5101819239308,0.0,69.38261323056489,69.38261323056489,69.38261323056489,0.0,3.0,3.0,3.0,0.0,0.326748833671445,0.325251958987792,0.3342579170130193,0.005620605524782706,1000.0,1000.0,1000.0,0.0
