instance,seed,candidate_objective_key,attempt16_objective_key,rerun09_objective_key,vehicle_count_delta_vs_attempt16,classification,gate_status,reason
c106C15,2016,"[3, 275.133168873, 437.989595186, 2]","[3, 275.133168873, 437.989595186, 2]","[3, 275.133168873, 437.989595186, 2]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
r101_21,2014,"[20, 1735.080023474, 396.51781678, 23]","[21, 1819.250457558, 442.395748859, 26]","[21, 1819.250457558, 442.395748859, 26]",-1,vehicle_guard_pass,pass,100-customer vehicle count guard against both historical baselines; wall-clock is time-budget variation
r101_21,2015,"[20, 1760.928139464, 429.112245686, 23]","[20, 1799.548688513, 463.254013128, 27]","[20, 1799.548688513, 463.254013128, 27]",0,vehicle_guard_pass,pass,100-customer vehicle count guard against both historical baselines; wall-clock is time-budget variation
r101_21,2016,"[20, 1718.126450884, 387.496489613, 24]","[21, 1819.250457558, 442.395748859, 26]","[21, 1819.250457558, 442.395748859, 26]",-1,vehicle_guard_pass,pass,100-customer vehicle count guard against both historical baselines; wall-clock is time-budget variation
r103C10,2014,"[2, 209.465301215, 47.758552329, 2]","[2, 209.465301215, 47.758552329, 2]","[2, 209.465301215, 47.758552329, 2]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
r103C10,2015,"[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
r103C10,2016,"[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
r105C15,2014,"[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
r105C15,2015,"[4, 338.888543976, 80.684092212, 4]","[4, 338.888543976, 80.684092212, 4]","[4, 338.888543976, 80.684092212, 4]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
r105C15,2016,"[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]",0,time_budget_variation,pass,Stage 3.0 records measurement only; no acceleration claim
