run_label,instance,seed,metric,value
stage03.2_cache_incremental_attempt02,c101C5,2014,cache_evictions,0
stage03.2_cache_incremental_attempt02,c101C5,2014,cache_hits,4361
stage03.2_cache_incremental_attempt02,c101C5,2014,cache_lookups,4378
stage03.2_cache_incremental_attempt02,c101C5,2014,cache_misses,17
stage03.2_cache_incremental_attempt02,c101C5,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c101C5,2014,cache_stores,17
stage03.2_cache_incremental_attempt02,c101C5,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c101C5,2014,incremental_propagations,17
stage03.2_cache_incremental_attempt02,c101C5,2015,cache_evictions,0
stage03.2_cache_incremental_attempt02,c101C5,2015,cache_hits,4271
stage03.2_cache_incremental_attempt02,c101C5,2015,cache_lookups,4288
stage03.2_cache_incremental_attempt02,c101C5,2015,cache_misses,17
stage03.2_cache_incremental_attempt02,c101C5,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c101C5,2015,cache_stores,17
stage03.2_cache_incremental_attempt02,c101C5,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c101C5,2015,incremental_propagations,17
stage03.2_cache_incremental_attempt02,c101C5,2016,cache_evictions,0
stage03.2_cache_incremental_attempt02,c101C5,2016,cache_hits,4352
stage03.2_cache_incremental_attempt02,c101C5,2016,cache_lookups,4369
stage03.2_cache_incremental_attempt02,c101C5,2016,cache_misses,17
stage03.2_cache_incremental_attempt02,c101C5,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c101C5,2016,cache_stores,17
stage03.2_cache_incremental_attempt02,c101C5,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c101C5,2016,incremental_propagations,17
stage03.2_cache_incremental_attempt02,c101_21,2014,cache_evictions,0
stage03.2_cache_incremental_attempt02,c101_21,2014,cache_hits,25503
stage03.2_cache_incremental_attempt02,c101_21,2014,cache_lookups,26702
stage03.2_cache_incremental_attempt02,c101_21,2014,cache_misses,1199
stage03.2_cache_incremental_attempt02,c101_21,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c101_21,2014,cache_stores,1199
stage03.2_cache_incremental_attempt02,c101_21,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c101_21,2014,incremental_propagations,40
stage03.2_cache_incremental_attempt02,c101_21,2015,cache_evictions,0
stage03.2_cache_incremental_attempt02,c101_21,2015,cache_hits,4511
stage03.2_cache_incremental_attempt02,c101_21,2015,cache_lookups,5030
stage03.2_cache_incremental_attempt02,c101_21,2015,cache_misses,519
stage03.2_cache_incremental_attempt02,c101_21,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c101_21,2015,cache_stores,519
stage03.2_cache_incremental_attempt02,c101_21,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c101_21,2015,incremental_propagations,40
stage03.2_cache_incremental_attempt02,c101_21,2016,cache_evictions,0
stage03.2_cache_incremental_attempt02,c101_21,2016,cache_hits,21069
stage03.2_cache_incremental_attempt02,c101_21,2016,cache_lookups,22247
stage03.2_cache_incremental_attempt02,c101_21,2016,cache_misses,1178
stage03.2_cache_incremental_attempt02,c101_21,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c101_21,2016,cache_stores,1178
stage03.2_cache_incremental_attempt02,c101_21,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c101_21,2016,incremental_propagations,40
stage03.2_cache_incremental_attempt02,c104C10,2014,cache_evictions,0
stage03.2_cache_incremental_attempt02,c104C10,2014,cache_hits,37716
stage03.2_cache_incremental_attempt02,c104C10,2014,cache_lookups,39897
stage03.2_cache_incremental_attempt02,c104C10,2014,cache_misses,2181
stage03.2_cache_incremental_attempt02,c104C10,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c104C10,2014,cache_stores,2181
stage03.2_cache_incremental_attempt02,c104C10,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c104C10,2014,incremental_propagations,35
stage03.2_cache_incremental_attempt02,c104C10,2015,cache_evictions,0
stage03.2_cache_incremental_attempt02,c104C10,2015,cache_hits,38353
stage03.2_cache_incremental_attempt02,c104C10,2015,cache_lookups,39950
stage03.2_cache_incremental_attempt02,c104C10,2015,cache_misses,1597
stage03.2_cache_incremental_attempt02,c104C10,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c104C10,2015,cache_stores,1597
stage03.2_cache_incremental_attempt02,c104C10,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c104C10,2015,incremental_propagations,35
stage03.2_cache_incremental_attempt02,c104C10,2016,cache_evictions,0
stage03.2_cache_incremental_attempt02,c104C10,2016,cache_hits,38279
stage03.2_cache_incremental_attempt02,c104C10,2016,cache_lookups,39830
stage03.2_cache_incremental_attempt02,c104C10,2016,cache_misses,1551
stage03.2_cache_incremental_attempt02,c104C10,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c104C10,2016,cache_stores,1551
stage03.2_cache_incremental_attempt02,c104C10,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c104C10,2016,incremental_propagations,35
stage03.2_cache_incremental_attempt02,c106C15,2014,cache_evictions,0
stage03.2_cache_incremental_attempt02,c106C15,2014,cache_hits,57561
stage03.2_cache_incremental_attempt02,c106C15,2014,cache_lookups,59036
stage03.2_cache_incremental_attempt02,c106C15,2014,cache_misses,1475
stage03.2_cache_incremental_attempt02,c106C15,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c106C15,2014,cache_stores,1475
stage03.2_cache_incremental_attempt02,c106C15,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c106C15,2014,incremental_propagations,44
stage03.2_cache_incremental_attempt02,c106C15,2015,cache_evictions,0
stage03.2_cache_incremental_attempt02,c106C15,2015,cache_hits,54530
stage03.2_cache_incremental_attempt02,c106C15,2015,cache_lookups,55806
stage03.2_cache_incremental_attempt02,c106C15,2015,cache_misses,1276
stage03.2_cache_incremental_attempt02,c106C15,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c106C15,2015,cache_stores,1276
stage03.2_cache_incremental_attempt02,c106C15,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c106C15,2015,incremental_propagations,44
stage03.2_cache_incremental_attempt02,c106C15,2016,cache_evictions,0
stage03.2_cache_incremental_attempt02,c106C15,2016,cache_hits,55372
stage03.2_cache_incremental_attempt02,c106C15,2016,cache_lookups,56874
stage03.2_cache_incremental_attempt02,c106C15,2016,cache_misses,1502
stage03.2_cache_incremental_attempt02,c106C15,2016,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,c106C15,2016,cache_stores,1502
stage03.2_cache_incremental_attempt02,c106C15,2016,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,c106C15,2016,incremental_propagations,44
stage03.2_cache_incremental_attempt02,r101_21,2014,cache_evictions,0
stage03.2_cache_incremental_attempt02,r101_21,2014,cache_hits,29779
stage03.2_cache_incremental_attempt02,r101_21,2014,cache_lookups,31305
stage03.2_cache_incremental_attempt02,r101_21,2014,cache_misses,1526
stage03.2_cache_incremental_attempt02,r101_21,2014,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,r101_21,2014,cache_stores,1526
stage03.2_cache_incremental_attempt02,r101_21,2014,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,r101_21,2014,incremental_propagations,47
stage03.2_cache_incremental_attempt02,r101_21,2015,cache_evictions,0
stage03.2_cache_incremental_attempt02,r101_21,2015,cache_hits,42622
stage03.2_cache_incremental_attempt02,r101_21,2015,cache_lookups,44092
stage03.2_cache_incremental_attempt02,r101_21,2015,cache_misses,1470
stage03.2_cache_incremental_attempt02,r101_21,2015,cache_oversize_not_cached,0
stage03.2_cache_incremental_attempt02,r101_21,2015,cache_stores,1470
stage03.2_cache_incremental_attempt02,r101_21,2015,incremental_fallbacks,0
stage03.2_cache_incremental_attempt02,r101_21,2015,incremental_propagations,47
stage03.2_cache_incremental_attempt02,r101_21,2016,cache_evictions,0
stage03.2_cache_incremental_attempt02,r101_21,2016,cache_hits,34782
stage03.2_cache_incremental_attempt02,r101_21,2016,cache_lookups,36130
stage03.2_cache_incremental_attempt02,r101_21,2016,cache_misses,1348
stage03.2_cache_incremental_attempt02,r101_21,2016,cache_oversize_not_cached,0
