instance,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_runtime_seconds,median_runtime_seconds,mean_trace_exact_calls,median_trace_exact_calls,mean_trace_cache_hits,median_trace_cache_hits,mean_trace_precomputed_routes,median_trace_precomputed_routes,mean_effective_iterations,median_effective_iterations
c101C5,3,3,1.0,"[2, 257.747451864, 472.556700052, 3]",2,257.747451864,472.556700052,3,0.09373997233827443,0.0936483339901315,70.66666666666667,71,5313.0,5330,0.0,0,1000.0,1000
c101_21,3,3,1.0,"[12, 1055.920259047, 1386.415951629, 8]",12,1055.920259047,1386.415951629,8,30.01146469466524,30.00247875000059,1841.0,1815,4448.333333333333,4334,12.0,12,23.0,22
r101_21,3,3,1.0,"[20, 1799.548688513, 463.254013128, 27]",20,1799.548688513,463.254013128,27,30.01038526366756,30.008567083001253,2043.6666666666667,2066,8231.333333333334,5802,78.0,78,52.0,55
r105C5,3,3,1.0,"[2, 156.082069464, 44.159902941, 2]",2,156.082069464,44.159902941,2,0.09179215267067775,0.0919449579960201,72.0,72,7832.666666666667,7829,0.0,0,1000.0,1000
rc101_21,3,3,1.0,"[19, 1925.362709303, 325.819224421, 19]",19,1925.362709303,325.819224421,19,30.003816486006446,30.002476000008755,2220.0,2218,4733.0,4935,96.0,96,30.0,28
rc105C5,3,3,1.0,"[2, 241.296391877, 59.789763586, 3]",2,241.296391877,59.789763586,3,0.09741948566806968,0.09728441599872895,74.33333333333333,74,7377.0,7356,64.0,64,1000.0,1000
