instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,median_vehicle_count,worst_vehicle_count,standard_deviation_vehicle_count,mean_total_distance,median_total_distance,worst_total_distance,standard_deviation_total_distance,mean_total_charging_time,median_total_charging_time,worst_total_charging_time,standard_deviation_total_charging_time,mean_charging_count,median_charging_count,worst_charging_count,standard_deviation_charging_count,mean_runtime_seconds,median_runtime_seconds,worst_runtime_seconds,standard_deviation_runtime_seconds,mean_iterations,median_iterations,worst_iterations,standard_deviation_iterations
c101C5,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,2.0,2.0,0.0,257.7474518641999,257.7474518641999,257.7474518641999,0.0,472.55670005197175,472.55670005197175,472.55670005197175,0.0,3.0,3.0,3.0,0.0,0.048125166669099904,0.0477905410079984,0.048815250003826804,0.0004880367129887535,1000.0,1000.0,1000.0,0.0
c101_21,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[12,1055.920259047,1386.415951629,8]",12,1055.9202590469108,1386.4159516285367,8,12.0,12.0,12.0,0.0,1062.8618914331591,1055.9202590469108,1076.7451562056556,9.816950665640592,1332.7144308589852,1386.4159516285367,1386.4159516285367,75.94541899235998,7.666666666666667,8.0,8.0,0.4714045207910317,30.00968127766585,30.006239041002118,30.01750537499902,0.005545754990810879,26.0,27.0,29.0,2.943920288775949
c104C10,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,2.0,2.0,0.0,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012,3.0,3.0,3.0,0.0,0.984859319331008,0.932204290991649,1.149172167002689,0.11865739552375887,1000.0,1000.0,1000.0,0.0
c106C15,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,3.0,3.0,0.0,275.1331688731623,275.1331688731623,275.1331688731623,0.0,437.98959518620296,437.989595186203,437.989595186203,0.0,2.0,2.0,2.0,0.0,1.7097195836589283,1.7734956669883104,2.000070791997132,0.2669440338923188,1000.0,1000.0,1000.0,0.0
r101_21,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[20,1799.548688513,463.254013128,27]",20,1799.5486885134083,463.25401312804536,27,20.666666666666668,21.0,21.0,0.4714045207910317,1812.683201209865,1819.2504575580936,1819.2504575580936,9.28750299524546,449.3485036151181,442.39574885865443,463.25401312804536,9.83268007244493,26.333333333333332,26.0,27.0,0.4714045207910317,30.003714541662095,30.003167916991515,30.00533220800571,0.0011637257974752365,45.0,48.0,51.0,6.48074069840786
r103C10,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,207.051154172,49.247992351,3]",2,207.0511541721048,49.24799235093133,3,2.0,2.0,2.0,0.0,207.85586985323093,207.0511541721048,209.46530121548315,1.1380398301028636,48.75151234354644,49.24799235093133,49.24799235093133,0.7021287598908047,2.6666666666666665,3.0,3.0,0.4714045207910317,0.8008523056632839,0.816172082995763,0.9935721249930793,0.16396757618446767,1000.0,1000.0,1000.0,0.0
r105C15,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,4.0,4.0,0.0,343.7192122947591,338.8885439761397,356.1154908084618,8.836317766614256,84.77248102152096,80.68409221221032,92.94925864014223,5.781854902381495,4.0,4.0,4.0,0.0,1.7741215836673898,1.8679142500041053,1.9147259169985773,0.16684183754219956,1000.0,1000.0,1000.0,0.0
r105C5,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,2.0,2.0,0.0,156.08206946417084,156.08206946417084,156.08206946417084,0.0,44.159902941361445,44.159902941361445,44.159902941361445,0.0,2.0,2.0,2.0,0.0,0.041710027333465405,0.04188191599678248,0.042079208011273295,0.0003909800154095816,1000.0,1000.0,1000.0,0.0
rc101_21,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[19,1925.362709303,325.819224421,19]",19,1925.3627093025516,325.8192244207476,19,19.333333333333332,19.0,20.0,0.4714045207910317,1968.1000951143212,1967.4980787393333,2011.4394973010783,35.14327983007697,346.91528995511345,339.2084159158358,375.71822952875686,21.08750986224234,20.0,20.0,21.0,0.816496580927726,30.011706333001104,30.002016457990976,30.032879625010537,0.014989672424800243,24.333333333333332,25.0,25.0,0.9428090415820634
rc102C10,ALNS_STAGE02_ROUTE_QUALITY,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,4.0,4.0,0.0,423.5101819239308,423.5101819239308,423.5101819239308,0.0,69.38261323056489,69.38261323056489,69.38261323056489,0.0,3.0,3.0,3.0,0.0,0.2595791810017545,0.25747191699338146,0.26764770899899304,0.005918287308226706,1000.0,1000.0,1000.0,0.0
