run_label,instance,seed,started_calls,completed_calls,exact_calls,cache_hits,precomputed_routes,deadline_events,screening_calls,screening_passes,screening_rejections,screening_cache_hits,screening_exact_call_blocked,screening_reason_counts,cache_incremental_counts,reconciliation_status,reconciliation_checks
stage03.2_cache_incremental_attempt02,c106C15,2015,1276,1276,1276,54530,14,0,179956,73010,4790,102156,106946,"{""forward_time_window_prefilter"": 106946}","{""cache_evictions"": 0, ""cache_hits"": 54530, ""cache_lookups"": 55806, ""cache_misses"": 1276, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1276, ""incremental_fallbacks"": 0, ""incremental_propagations"": 44}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,c106C15,2016,1502,1502,1502,55372,22,0,187928,75724,5548,106656,112204,"{""forward_time_window_prefilter"": 112204}","{""cache_evictions"": 0, ""cache_hits"": 55372, ""cache_lookups"": 56874, ""cache_misses"": 1502, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1502, ""incremental_fallbacks"": 0, ""incremental_propagations"": 44}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r101_21,2014,1526,1526,1526,29779,120,5,590828,82181,63639,445008,508647,"{""capacity_prefilter"": 5566, ""forward_time_window_prefilter"": 502802, ""single_segment_energy_prefilter"": 279}","{""cache_evictions"": 0, ""cache_hits"": 29779, ""cache_lookups"": 31305, ""cache_misses"": 1526, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1526, ""incremental_fallbacks"": 0, ""incremental_propagations"": 47}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r101_21,2015,1470,1470,1470,42622,116,4,686274,99696,59599,526979,586578,"{""capacity_prefilter"": 3066, ""forward_time_window_prefilter"": 583005, ""single_segment_energy_prefilter"": 507}","{""cache_evictions"": 0, ""cache_hits"": 42622, ""cache_lookups"": 44092, ""cache_misses"": 1470, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1470, ""incremental_fallbacks"": 0, ""incremental_propagations"": 47}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r101_21,2016,1348,1348,1348,34782,145,5,754339,88254,57089,608996,666085,"{""capacity_prefilter"": 3555, ""forward_time_window_prefilter"": 662503, ""single_segment_energy_prefilter"": 27}","{""cache_evictions"": 0, ""cache_hits"": 34782, ""cache_lookups"": 36130, ""cache_misses"": 1348, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1348, ""incremental_fallbacks"": 0, ""incremental_propagations"": 47}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r103C10,2014,797,797,797,21667,56,0,60986,32110,1748,27128,28876,"{""forward_time_window_prefilter"": 28876}","{""cache_evictions"": 0, ""cache_hits"": 21667, ""cache_lookups"": 22464, ""cache_misses"": 797, ""cache_oversize_not_cached"": 0, ""cache_stores"": 797, ""incremental_fallbacks"": 0, ""incremental_propagations"": 34}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r103C10,2015,1135,1135,1135,20673,51,0,61452,33015,2471,25966,28437,"{""forward_time_window_prefilter"": 28437}","{""cache_evictions"": 0, ""cache_hits"": 20673, ""cache_lookups"": 21808, ""cache_misses"": 1135, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1135, ""incremental_fallbacks"": 0, ""incremental_propagations"": 34}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r103C10,2016,863,863,863,19771,54,0,59818,31287,2073,26458,28531,"{""forward_time_window_prefilter"": 28531}","{""cache_evictions"": 0, ""cache_hits"": 19771, ""cache_lookups"": 20634, ""cache_misses"": 863, ""cache_oversize_not_cached"": 0, ""cache_stores"": 863, ""incremental_fallbacks"": 0, ""incremental_propagations"": 34}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r105C15,2014,373,373,373,35970,21,0,177741,47921,2965,126855,129820,"{""forward_time_window_prefilter"": 129813, ""single_segment_energy_prefilter"": 7}","{""cache_evictions"": 0, ""cache_hits"": 35970, ""cache_lookups"": 36343, ""cache_misses"": 373, ""cache_oversize_not_cached"": 0, ""cache_stores"": 373, ""incremental_fallbacks"": 0, ""incremental_propagations"": 42}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt02,r105C15,2015,412,412,412,36781,18,0,175708,49316,3677,122715,126392,"{""forward_time_window_prefilter"": 126391, ""single_segment_energy_prefilter"": 1}","{""cache_evictions"": 0, ""cache_hits"": 36781, ""cache_lookups"": 37193, ""cache_misses"": 412, ""cache_oversize_not_cached"": 0, ""cache_stores"": 412, ""incremental_fallbacks"": 0, ""incremental_propagations"": 42}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
