instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,median_vehicle_count,worst_vehicle_count,standard_deviation_vehicle_count,mean_total_distance,median_total_distance,worst_total_distance,standard_deviation_total_distance,mean_total_charging_time,median_total_charging_time,worst_total_charging_time,standard_deviation_total_charging_time,mean_charging_count,median_charging_count,worst_charging_count,standard_deviation_charging_count,mean_runtime_seconds,median_runtime_seconds,worst_runtime_seconds,standard_deviation_runtime_seconds,mean_iterations,median_iterations,worst_iterations,standard_deviation_iterations
c101C5,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,2.0,2.0,0.0,257.7474518641999,257.7474518641999,257.7474518641999,0.0,472.55670005197175,472.55670005197175,472.55670005197175,0.0,3.0,3.0,3.0,0.0,0.07787922199834914,0.07723608300148044,0.07949283299967647,0.0011487941713431205,1000.0,1000.0,1000.0,0.0
c101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[12,1055.920259047,1386.415951629,8]",12,1055.9202590469108,1386.4159516285367,8,12.0,12.0,12.0,0.0,1055.9202590469108,1055.9202590469108,1055.9202590469108,0.0,1386.415951628537,1386.4159516285367,1386.4159516285367,0.0,8.0,8.0,8.0,0.0,30.006545180328732,30.006418457996915,30.00710658299795,0.0004164046517923418,22.0,22.0,25.0,2.449489742783178
c104C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,2.0,2.0,0.0,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012,3.0,3.0,3.0,0.0,1.2624045973352622,1.257991917009349,1.4073652079969179,0.11660013023537541,1000.0,1000.0,1000.0,0.0
c106C15,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,3.0,3.0,0.0,282.8197955011379,275.1331688731623,298.1930487570892,10.87053162618131,447.60227310060736,437.989595186203,466.82762892941594,13.594379477274888,2.0,2.0,2.0,0.0,1.933919458334761,1.9170532080024714,2.13753204200475,0.15980899812392177,1000.0,1000.0,1000.0,0.0
r101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[20,1799.548688513,463.254013128,27]",20,1799.5486885134083,463.25401312804536,27,20.666666666666668,21.0,21.0,0.4714045207910317,1812.683201209865,1819.2504575580936,1819.2504575580936,9.28750299524546,449.3485036151181,442.39574885865443,463.25401312804536,9.83268007244493,26.333333333333332,26.0,27.0,0.4714045207910317,30.00873051399928,30.011957832990447,30.013029459005338,0.005339824147913011,51.0,52.0,58.0,6.164414002968976
r103C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,207.051154172,49.247992351,3]",2,207.0511541721048,49.24799235093133,3,2.0,2.0,2.0,0.0,207.85586985323093,207.0511541721048,209.46530121548315,1.1380398301028636,48.75151234354644,49.24799235093133,49.24799235093133,0.7021287598908047,2.6666666666666665,3.0,3.0,0.4714045207910317,0.9174517079954967,0.9356505420000758,1.1062937909882748,0.16213006217158302,1000.0,1000.0,1000.0,0.0
r105C15,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,4.0,4.0,0.0,337.0652493918305,336.1536020996758,338.8885439761397,1.2892639646657862,80.68409221221032,80.68409221221032,80.68409221221032,0.0,4.0,4.0,4.0,0.0,2.071396792001906,2.1676070420071483,2.303141249998589,0.23840875020216576,1000.0,1000.0,1000.0,0.0
r105C5,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,2.0,2.0,0.0,156.08206946417084,156.08206946417084,156.08206946417084,0.0,44.159902941361445,44.159902941361445,44.159902941361445,0.0,2.0,2.0,2.0,0.0,0.07126674966517992,0.07159783299721312,0.07171912500052713,0.0005561975369339655,1000.0,1000.0,1000.0,0.0
rc101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[19,1925.362709303,325.819224421,19]",19,1925.3627093025516,325.8192244207476,19,19.333333333333332,19.0,20.0,0.4714045207910317,1968.1000951143212,1967.4980787393333,2011.4394973010783,35.14327983007697,346.91528995511345,339.2084159158358,375.71822952875686,21.08750986224234,20.0,20.0,21.0,0.816496580927726,30.003987055664766,30.003940750000766,30.00766141699569,0.002981379061608213,29.0,28.0,31.0,1.4142135623730951
rc102C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,4.0,4.0,0.0,423.5101819239308,423.5101819239308,423.5101819239308,0.0,69.38261323056489,69.38261323056489,69.38261323056489,0.0,3.0,3.0,3.0,0.0,0.3377347773396953,0.33731991599779576,0.34349525001016445,0.004543519773492628,1000.0,1000.0,1000.0,0.0
