run_label,instance,seed,started_calls,completed_calls,exact_calls,cache_hits,precomputed_routes,deadline_events,screening_calls,screening_passes,screening_rejections,screening_cache_hits,screening_exact_call_blocked,screening_reason_counts,cache_incremental_counts,reconciliation_status,reconciliation_checks
stage03.2_cache_incremental_attempt03,c101C5,2014,17,17,17,2696,1665,0,11665,4076,61,7528,7589,"{""forward_time_window_prefilter"": 7589}","{""cache_evictions"": 0, ""cache_hits"": 2696, ""cache_lookups"": 2713, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c101C5,2015,17,17,17,2577,1694,0,11511,3997,61,7453,7514,"{""forward_time_window_prefilter"": 7514}","{""cache_evictions"": 0, ""cache_hits"": 2577, ""cache_lookups"": 2594, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c101C5,2016,17,17,17,2674,1678,0,11655,4116,61,7478,7539,"{""forward_time_window_prefilter"": 7539}","{""cache_evictions"": 0, ""cache_hits"": 2674, ""cache_lookups"": 2691, ""cache_misses"": 17, ""cache_oversize_not_cached"": 0, ""cache_stores"": 17, ""incremental_fallbacks"": 0, ""incremental_propagations"": 17}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c101_21,2014,1237,1237,1237,23483,2236,7,568329,58789,30760,478780,509540,"{""capacity_prefilter"": 31935, ""forward_time_window_prefilter"": 477605}","{""cache_evictions"": 0, ""cache_hits"": 23483, ""cache_lookups"": 24720, ""cache_misses"": 1237, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1237, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c101_21,2015,1196,1196,1196,25197,2426,3,639585,61743,29742,548100,577842,"{""capacity_prefilter"": 26037, ""forward_time_window_prefilter"": 551805}","{""cache_evictions"": 0, ""cache_hits"": 25197, ""cache_lookups"": 26393, ""cache_misses"": 1196, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1196, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c101_21,2016,1253,1253,1253,21049,2134,4,540008,56077,31954,451977,483931,"{""capacity_prefilter"": 26266, ""forward_time_window_prefilter"": 457665}","{""cache_evictions"": 0, ""cache_hits"": 21049, ""cache_lookups"": 22302, ""cache_misses"": 1253, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1253, ""incremental_fallbacks"": 0, ""incremental_propagations"": 40}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c104C10,2014,2302,2302,2302,37868,1410,0,66967,57743,668,8556,9224,"{""forward_time_window_prefilter"": 9224}","{""cache_evictions"": 0, ""cache_hits"": 37868, ""cache_lookups"": 40170, ""cache_misses"": 2302, ""cache_oversize_not_cached"": 0, ""cache_stores"": 2302, ""incremental_fallbacks"": 0, ""incremental_propagations"": 36}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c104C10,2015,1679,1679,1679,38421,1585,0,69538,62015,393,7130,7523,"{""forward_time_window_prefilter"": 7523}","{""cache_evictions"": 0, ""cache_hits"": 38421, ""cache_lookups"": 40100, ""cache_misses"": 1679, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1679, ""incremental_fallbacks"": 0, ""incremental_propagations"": 36}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c104C10,2016,1695,1695,1695,37985,1633,0,70340,62444,425,7471,7896,"{""forward_time_window_prefilter"": 7896}","{""cache_evictions"": 0, ""cache_hits"": 37985, ""cache_lookups"": 39680, ""cache_misses"": 1695, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1695, ""incremental_fallbacks"": 0, ""incremental_propagations"": 36}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
stage03.2_cache_incremental_attempt03,c106C15,2014,1475,1475,1475,55132,2454,0,182783,74070,5446,103267,108713,"{""forward_time_window_prefilter"": 108713}","{""cache_evictions"": 0, ""cache_hits"": 55132, ""cache_lookups"": 56607, ""cache_misses"": 1475, ""cache_oversize_not_cached"": 0, ""cache_stores"": 1475, ""incremental_fallbacks"": 0, ""incremental_propagations"": 44}",pass,"{""accepted_moves_equal_result"": true, ""cache_evictions_equal_result"": true, ""cache_hits_equal_result"": true, ""cache_lookups_equal_result"": true, ""cache_misses_equal_result"": true, ""cache_oversize_not_cached_equal_result"": true, ""cache_stores_equal_result"": true, ""completed_calls_equal_result"": true, ""exact_calls_equal_result"": true, ""improving_moves_equal_result"": true, ""incremental_fallbacks_equal_result"": true, ""incremental_propagations_equal_result"": true, ""legacy_candidate_states_equal_effective_iterations"": true, ""operator_calls_equal_result"": true, ""rejected_moves_equal_result"": true, ""screening_cache_hits_equal_result"": true, ""screening_calls_equal_result"": true, ""screening_exact_call_blocked_equal_result"": true, ""screening_passes_equal_result"": true, ""screening_reason_counts_equal_result"": true, ""screening_rejections_equal_result"": true, ""started_calls_not_less_than_completed"": true, ""unique_routes_equal_result"": true}"
