instance,seed,candidate_objective_key,stage03_objective_key,candidate_feasible,stage03_feasible,candidate_vehicle_count,stage03_vehicle_count,candidate_exact_calls,stage03_exact_calls,exact_call_delta,classification,gate_status,reason
c101C5,2014,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,17,28,-11,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101C5,2015,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,17,27,-10,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101C5,2016,"[2, 257.747451864, 472.556700052, 3]","[2, 257.747451864, 472.556700052, 3]",True,True,2,2,17,28,-11,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
c101_21,2014,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1237,1302,-65,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c101_21,2015,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1196,1251,-55,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c101_21,2016,"[12, 1055.920259047, 1386.415951629, 8]","[12, 1055.920259047, 1386.415951629, 8]",True,True,12,12,1253,1308,-55,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
c104C10,2014,"[2, 273.931237129, 589.151039592, 3]","[2, 273.931237129, 589.151039592, 3]",True,True,2,2,2302,2335,-33,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c104C10,2015,"[2, 279.933119059, 625.368886517, 3]","[2, 279.933119059, 625.368886517, 3]",True,True,2,2,1679,1689,-10,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c104C10,2016,"[2, 279.933119059, 625.368886517, 3]","[2, 279.933119059, 625.368886517, 3]",True,True,2,2,1695,2085,-390,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c106C15,2014,"[3, 275.133168873, 437.989595186, 2]","[3, 275.133168873, 437.989595186, 2]",True,True,3,3,1475,1604,-129,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c106C15,2015,"[3, 298.193048757, 466.827628929, 2]","[3, 298.193048757, 466.827628929, 2]",True,True,3,3,1276,1414,-138,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
c106C15,2016,"[3, 275.133168873, 437.989595186, 2]","[3, 275.133168873, 437.989595186, 2]",True,True,3,3,1502,1756,-254,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r101_21,2014,"[20, 1735.080023474, 396.51781678, 23]","[20, 1735.080023474, 396.51781678, 23]",True,True,20,20,1583,1681,-98,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2015,"[20, 1760.928139464, 429.112245686, 23]","[20, 1760.928139464, 429.112245686, 23]",True,True,20,20,1313,1549,-236,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r101_21,2016,"[20, 1718.126450884, 387.496489613, 24]","[20, 1718.126450884, 387.496489613, 24]",True,True,20,20,1352,1569,-217,vehicle_guard_pass,pass,100-customer vehicle count must not increase; time is budget variation
r103C10,2014,"[2, 207.051154172, 49.247992351, 3]","[2, 209.465301215, 47.758552329, 2]",True,True,2,2,797,636,161,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r103C10,2015,"[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]",True,True,2,2,1135,927,208,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r103C10,2016,"[2, 207.051154172, 49.247992351, 3]","[2, 207.051154172, 49.247992351, 3]",True,True,2,2,863,1005,-142,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C15,2014,"[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]",True,True,4,4,374,449,-75,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C15,2015,"[4, 338.888543976, 80.684092212, 4]","[4, 338.888543976, 80.684092212, 4]",True,True,4,4,413,540,-127,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C15,2016,"[4, 336.1536021, 80.684092212, 4]","[4, 336.1536021, 80.684092212, 4]",True,True,4,4,454,544,-90,time_budget_variation,pass,"non-gated wall-clock/objective variation is recorded, not acceleration"
r105C5,2014,"[2, 156.082069464, 44.159902941, 2]","[2, 156.082069464, 44.159902941, 2]",True,True,2,2,22,38,-16,objective_not_worse,pass,C5 objective key must not be worse than Stage 3.0 formal evidence
