batch_runtime_seconds,fixed_iterations,instance,saving_fraction,scalar_runtime_seconds,seed,speedup,valid
0.018402583998977207,40,c101C5,0.045426643195667395,0.019278333998954622,2014,1.0475884256268624,True
0.01830912500008708,40,c101C5,-0.0012030320977602148,0.01828712500173424,2015,0.9987984134494283,True
0.018290750000232947,40,c101C5,-0.08655767046092246,0.016833666999445995,2016,0.920337711642858,True
8.58843970899943,40,c101_21,0.19524710910452778,10.672145209000519,2014,1.2426174684346527,True
10.633583207998527,40,c101_21,0.2196513750350225,13.626708457999484,2015,1.2814785187131976,True
9.441411292000339,40,c101_21,0.2251470300565743,12.184777832999316,2016,1.2905674221949655,True
6.029028916000243,40,r101_21,0.15631226328603423,7.146043083999757,2014,1.1852726506311997,True
5.757699583000431,40,r101_21,0.11224266165644264,6.485668250001254,2015,1.1264339440616433,True
5.832880874999319,40,r101_21,0.11544052796649924,6.594108207998943,2016,1.1305062368515648,True
9.393457041000147,40,rc101_21,0.24403366952698566,12.425761124999553,2014,1.3228102359721388,True
9.239481625001645,40,rc101_21,0.2041442157863979,11.609492333000162,2015,1.2565090558311593,True
9.775052166000023,40,rc101_21,0.24619640567234666,12.967638042000544,2016,1.3266055077542298,True
