instance,metric,runs,best,mean,median,worst,standard_deviation
c101C5,vehicle_count,12,2.0,2.0,2.0,2.0,0.0
c101C5,total_distance,12,257.7474518641999,257.7474518641999,257.7474518641999,257.7474518641999,0.0
c101C5,total_charging_time,12,472.55670005197175,472.55670005197175,472.55670005197175,472.55670005197175,0.0
c101C5,iterations,12,1000.0,1000.0,1000.0,1000.0,0.0
c101C5,effective_iterations,12,1000.0,1000.0,1000.0,1000.0,0.0
c101C5,accepted_moves,12,309.0,347.1666666666667,346.5,387.0,34.96863674145098
c101C5,improving_moves,12,0.0,0.6666666666666666,1.0,1.0,0.4714045207910317
c101C5,rejected_moves,12,613.0,652.8333333333334,653.5,691.0,34.96863674145098
c101_21,vehicle_count,12,12.0,12.5,12.5,13.0,0.5
c101_21,total_distance,12,1054.0334649784038,1090.6056318244591,1081.0326613081656,1128.6748067858923,33.839149289235834
c101_21,total_charging_time,12,1228.6884031679028,1323.7669734269464,1314.4765466613421,1386.4159516285367,52.82198782161991
c101_21,iterations,12,5.0,118.33333333333333,107.0,262.0,113.90956451891513
c101_21,effective_iterations,12,4.0,117.83333333333333,106.5,262.0,114.40631781311535
c101_21,accepted_moves,12,1.0,58.666666666666664,51.0,146.0,57.654623019802635
c101_21,improving_moves,12,1.0,5.833333333333333,4.5,13.0,4.913134324327892
c101_21,rejected_moves,12,1.0,59.166666666666664,55.5,133.0,57.643781586182875
c104C10,vehicle_count,12,2.0,2.0,2.0,2.0,0.0
c104C10,total_distance,12,273.9312371287162,326.2036867067165,328.70447084419516,377.47582262972526,51.29652513210222
c104C10,total_charging_time,12,589.1510395919971,767.3159836452564,782.406753197136,939.444619877764,172.39303913305224
c104C10,iterations,12,1.0,500.5,500.5,1000.0,499.5
c104C10,effective_iterations,12,0.0,500.0,500.0,1000.0,500.0
c104C10,accepted_moves,12,0.0,197.75,148.0,526.0,204.41384697063293
c104C10,improving_moves,12,0.0,14.5,10.5,34.0,14.852048119142806
c104C10,rejected_moves,12,0.0,302.25,237.0,704.0,306.6513016984166
c106C15,vehicle_count,12,3.0,3.0,3.0,3.0,0.0
c106C15,total_distance,12,275.1331688731623,313.8408405629868,323.4491238479563,348.7051989388234,35.389986267763106
c106C15,total_charging_time,12,437.989595186203,504.5714711659627,516.587318558968,566.3470081885201,62.2412179335701
c106C15,iterations,12,2.0,501.4166666666667,502.0,1000.0,498.58357011527056
c106C15,effective_iterations,12,1.0,500.9166666666667,501.5,1000.0,499.0835698780538
c106C15,accepted_moves,12,1.0,166.66666666666666,147.5,370.0,166.67699967968653
c106C15,improving_moves,12,1.0,9.75,7.0,29.0,9.487930930046515
c106C15,rejected_moves,12,0.0,334.25,315.5,707.0,334.16890065753677
r101_21,vehicle_count,12,20.0,22.166666666666668,21.5,27.0,2.4094720491334933
r101_21,total_distance,12,1745.5770428765074,1883.8492960531403,1866.801285232987,2072.9631499403727,104.88730831221706
r101_21,total_charging_time,12,385.0939095156936,441.69337680343847,448.39502864002736,469.155915595719,21.967930147954263
r101_21,iterations,12,3.0,203.0,179.5,427.0,199.27493570441817
r101_21,effective_iterations,12,2.0,202.5,179.0,427.0,199.77299617315649
r101_21,accepted_moves,12,2.0,95.08333333333333,83.0,212.0,92.85603402878866
r101_21,improving_moves,12,2.0,17.416666666666668,15.5,39.0,14.574282905934762
r101_21,rejected_moves,12,0.0,107.41666666666667,94.5,249.0,108.33701916806748
r103C10,vehicle_count,12,2.0,2.0,2.0,2.0,0.0
r103C10,total_distance,12,207.0511541721048,216.70625314801478,210.12060687985408,228.99561063118904,10.515190485309985
r103C10,total_charging_time,12,49.24799235093133,55.43682995157562,52.20986328017688,62.9164542207794,6.516673722573185
r103C10,iterations,12,4.0,503.0,506.5,1000.0,497.00503015563135
r103C10,effective_iterations,12,3.0,502.5,506.0,1000.0,497.5050251002496
r103C10,accepted_moves,12,2.0,164.5,147.5,406.0,164.1302836164003
r103C10,improving_moves,12,1.0,16.916666666666668,14.0,39.0,16.183625126102687
r103C10,rejected_moves,12,1.0,338.0,299.5,712.0,337.27115698401093
r105C15,vehicle_count,12,4.0,4.0,4.0,4.0,0.0
r105C15,total_distance,12,336.15360209967577,365.0752260356235,349.27608920699777,401.5802738055902,30.150405748624905
r105C15,total_charging_time,12,80.68409221221032,89.68817495035698,82.01113764380901,102.11429516748808,10.219190609705034
r105C15,iterations,12,6.0,503.9166666666667,505.5,1000.0,496.08457920219837
r105C15,effective_iterations,12,5.0,503.4166666666667,505.0,1000.0,496.58457794776064
r105C15,accepted_moves,12,2.0,246.91666666666666,196.0,565.0,247.02107141339627
r105C15,improving_moves,12,1.0,10.916666666666666,9.5,24.0,9.322538400147367
r105C15,rejected_moves,12,2.0,256.5,220.0,613.0,257.2785455493715
r105C5,vehicle_count,12,2.0,2.0,2.0,2.0,0.0
r105C5,total_distance,12,156.08206946417084,156.08206946417084,156.08206946417084,156.08206946417084,0.0
r105C5,total_charging_time,12,44.159902941361445,44.159902941361445,44.159902941361445,44.159902941361445,0.0
r105C5,iterations,12,1000.0,1000.0,1000.0,1000.0,0.0
r105C5,effective_iterations,12,1000.0,1000.0,1000.0,1000.0,0.0
r105C5,accepted_moves,12,464.0,513.1666666666666,515.5,567.0,42.72944600103722
r105C5,improving_moves,12,0.0,2.1666666666666665,1.5,6.0,2.1921577396609844
r105C5,rejected_moves,12,433.0,486.8333333333333,484.5,536.0,42.72944600103722
rc101_21,vehicle_count,12,17.0,20.916666666666668,20.5,25.0,3.01270458042087
rc101_21,total_distance,12,1858.3288189958034,2077.5778106916296,2018.3824509259512,2313.0560246947016,177.65790751560917
rc101_21,total_charging_time,12,317.66639001285245,364.64302638194675,362.82675045057226,402.72525580038376,24.552955558529835
rc101_21,iterations,12,3.0,152.41666666666666,122.5,352.0,150.34984665402519
rc101_21,effective_iterations,12,2.0,151.91666666666666,122.0,352.0,150.84233398559644
rc101_21,accepted_moves,12,2.0,73.08333333333333,60.0,167.0,71.91251436448472
rc101_21,improving_moves,12,1.0,19.0,18.5,40.0,16.950909513454825
rc101_21,rejected_moves,12,0.0,78.83333333333333,62.0,192.0,79.40175620783768
rc102C10,vehicle_count,12,4.0,4.0,4.0,4.0,0.0
rc102C10,total_distance,12,423.5101819239309,423.51018192393093,423.5101819239309,423.5101819239309,0.0
rc102C10,total_charging_time,12,69.38261323056489,69.38261323056489,69.38261323056489,69.38261323056489,0.0
rc102C10,iterations,12,81.0,575.0833333333334,627.0,1000.0,426.90113186648836
rc102C10,effective_iterations,12,80.0,574.5833333333334,626.5,1000.0,427.3988103113479
rc102C10,accepted_moves,12,38.0,250.91666666666666,243.0,490.0,190.04317857324483
rc102C10,improving_moves,12,2.0,7.0,6.5,16.0,4.546060565661952
rc102C10,rejected_moves,12,42.0,323.6666666666667,322.5,632.0,241.97394258243776
rc103C15,vehicle_count,12,4.0,4.5,4.5,5.0,0.5
rc103C15,total_distance,12,397.6698569130491,475.13542594292124,475.13542594292124,552.6009949727934,77.46556902987214
rc103C15,total_charging_time,12,67.68771409904316,88.48586756578698,88.48586756578698,109.28402103253077,20.798153466743805
rc103C15,iterations,12,1.0,500.5,500.5,1000.0,499.5
rc103C15,effective_iterations,12,0.0,500.0,500.0,1000.0,500.0
rc103C15,accepted_moves,12,0.0,259.25,226.5,573.0,261.53748138013924
rc103C15,improving_moves,12,0.0,15.916666666666666,11.0,41.0,16.630585945446686
rc103C15,rejected_moves,12,0.0,240.75,213.5,547.0,243.21154200955732
rc105C5,vehicle_count,12,2.0,2.0,2.0,2.0,0.0
rc105C5,total_distance,12,241.29639187672765,241.29639187672765,241.29639187672765,241.29639187672765,0.0
rc105C5,total_charging_time,12,59.789763585628236,59.789763585628236,59.789763585628236,59.789763585628236,0.0
rc105C5,iterations,12,1000.0,1000.0,1000.0,1000.0,0.0
rc105C5,effective_iterations,12,1000.0,1000.0,1000.0,1000.0,0.0
rc105C5,accepted_moves,12,477.0,531.5,532.5,582.0,44.66448999671514
rc105C5,improving_moves,12,1.0,1.0,1.0,1.0,0.0
rc105C5,rejected_moves,12,418.0,468.5,467.5,523.0,44.66448999671514
