instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
rc101_21,stage02_1,stage02_route_quality,total_distance,mean,1968.1000951143212,2026.8100990976764,58.710003983355136,0.029830801862719712,regression,pass,descriptive comparison
rc101_21,stage02_1,stage02_route_quality,total_charging_time,mean,346.91528995511345,371.6315888836078,24.716298928494325,0.07124591980852821,regression,pass,descriptive comparison
rc101_21,stage02_1,stage02_route_quality,charging_count,mean,20.0,21.666666666666668,1.6666666666666679,0.0833333333333334,regression,pass,descriptive comparison
rc102C10,stage02_1,stage02_route_quality,objective,best,"[4,423.510181924,69.382613231,3]","[4,423.510181924,69.382613231,3]",,,equal,pass,vehicle-first objective comparison
rc102C10,stage02_1,stage02_route_quality,vehicle_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_1,stage02_route_quality,total_distance,mean,423.5101819239308,423.5101819239308,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_1,stage02_route_quality,total_charging_time,mean,69.38261323056489,69.38261323056489,0.0,0.0,unchanged,pass,descriptive comparison
rc102C10,stage02_1,stage02_route_quality,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_1,stage02_route_quality,objective,best,"[4,397.669856913,67.687714099,4]","[4,397.669856913,67.687714099,4]",,,equal,pass,vehicle-first objective comparison
rc103C15,stage02_1,stage02_route_quality,vehicle_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_1,stage02_route_quality,total_distance,mean,397.66985691304916,397.66985691304916,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_1,stage02_route_quality,total_charging_time,mean,67.68771409904316,67.68771409904316,0.0,0.0,unchanged,pass,descriptive comparison
rc103C15,stage02_1,stage02_route_quality,charging_count,mean,4.0,4.0,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_1,stage02_route_quality,objective,best,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",,,equal,pass,vehicle-first objective comparison
rc105C5,stage02_1,stage02_route_quality,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_1,stage02_route_quality,total_distance,mean,241.29639187672765,241.29639187672765,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_1,stage02_route_quality,total_charging_time,mean,59.789763585628236,59.789763585628236,0.0,0.0,unchanged,pass,descriptive comparison
rc105C5,stage02_1,stage02_route_quality,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
