instance,algorithm,runs,feasible_runs,feasibility_rate,best_objective_key,best_vehicle_count,best_total_distance,best_total_charging_time,best_charging_count,mean_vehicle_count,median_vehicle_count,worst_vehicle_count,standard_deviation_vehicle_count,mean_total_distance,median_total_distance,worst_total_distance,standard_deviation_total_distance,mean_total_charging_time,median_total_charging_time,worst_total_charging_time,standard_deviation_total_charging_time,mean_charging_count,median_charging_count,worst_charging_count,standard_deviation_charging_count,mean_runtime_seconds,median_runtime_seconds,worst_runtime_seconds,standard_deviation_runtime_seconds,mean_iterations,median_iterations,worst_iterations,standard_deviation_iterations
c101C5,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,257.747451864,472.556700052,3]",2,257.7474518641999,472.55670005197175,3,2.0,2.0,2.0,0.0,257.7474518641999,257.7474518641999,257.7474518641999,0.0,472.55670005197175,472.55670005197175,472.55670005197175,0.0,3.0,3.0,3.0,0.0,0.08091009733713388,0.07641449999937322,0.09007916699920315,0.006483917988820202,1000.0,1000.0,1000.0,0.0
c101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[12,1055.920259047,1386.415951629,8]",12,1055.9202590469108,1386.4159516285367,8,12.0,12.0,12.0,0.0,1055.9202590469108,1055.9202590469108,1055.9202590469108,0.0,1386.415951628537,1386.4159516285367,1386.4159516285367,0.0,8.0,8.0,8.0,0.0,30.020154875004664,30.024189250005293,30.024626792001072,0.006017508532255863,20.666666666666668,21.0,21.0,0.4714045207910317
c104C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,273.931237129,589.151039592,3]",2,273.9312371287162,589.1510395919971,3,2.0,2.0,2.0,0.0,277.93249174868214,279.9331190586651,279.9331190586651,2.829314275031924,613.2962708750043,625.368886516508,625.368886516508,17.073256773532012,3.0,3.0,3.0,0.0,1.252186347337556,1.2556986660056282,1.4101262090116506,0.13041490562214342,1000.0,1000.0,1000.0,0.0
c106C15,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[3,275.133168873,437.989595186,2]",3,275.1331688731623,437.989595186203,2,3.0,3.0,3.0,0.0,282.8197955011379,275.1331688731623,298.1930487570892,10.87053162618131,447.60227310060736,437.989595186203,466.82762892941594,13.594379477274888,2.0,2.0,2.0,0.0,1.8991057916621987,1.8862515829969198,2.0879214579908876,0.14919676171037716,1000.0,1000.0,1000.0,0.0
r101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[20,1799.548688513,463.254013128,27]",20,1799.5486885134083,463.25401312804536,27,20.666666666666668,21.0,21.0,0.4714045207910317,1812.683201209865,1819.2504575580936,1819.2504575580936,9.28750299524546,449.3485036151181,442.39574885865443,463.25401312804536,9.83268007244493,26.333333333333332,26.0,27.0,0.4714045207910317,30.00973084733414,30.011724374999176,30.015187958997558,0.005454852477717294,56.333333333333336,59.0,63.0,6.79869268479038
r103C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,207.051154172,49.247992351,3]",2,207.0511541721048,49.24799235093133,3,2.0,2.0,2.0,0.0,207.85586985323093,207.0511541721048,209.46530121548315,1.1380398301028636,48.75151234354644,49.24799235093133,49.24799235093133,0.7021287598908047,2.6666666666666665,3.0,3.0,0.4714045207910317,0.9217014163392984,0.9395148330077063,1.1123182500014082,0.16339651601917446,1000.0,1000.0,1000.0,0.0
r105C15,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[4,336.1536021,80.684092212,4]",4,336.1536020996758,80.68409221221032,4,4.0,4.0,4.0,0.0,337.0652493918305,336.1536020996758,338.8885439761397,1.2892639646657862,80.68409221221032,80.68409221221032,80.68409221221032,0.0,4.0,4.0,4.0,0.0,2.0797808890007823,2.1777252500032773,2.3150135000032606,0.24216686657869665,1000.0,1000.0,1000.0,0.0
r105C5,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[2,156.082069464,44.159902941,2]",2,156.08206946417084,44.159902941361445,2,2.0,2.0,2.0,0.0,156.08206946417084,156.08206946417084,156.08206946417084,0.0,44.159902941361445,44.159902941361445,44.159902941361445,0.0,2.0,2.0,2.0,0.0,0.0702823749985934,0.07047283300198615,0.07079229199734982,0.0005121245747903481,1000.0,1000.0,1000.0,0.0
rc101_21,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[19,1925.362709303,325.819224421,19]",19,1925.3627093025516,325.8192244207476,19,19.333333333333332,19.0,20.0,0.4714045207910317,1968.4857358588588,1967.4980787393333,2012.5964195346917,35.619860098504574,347.20678376482664,339.2084159158358,376.5927109578965,21.485920195488283,20.0,20.0,21.0,0.816496580927726,30.027934111334616,30.036268791998737,30.040800667004078,0.015105270367662958,31.333333333333332,32.0,36.0,4.109609335312651
rc102C10,ALNS_STAGE02_CONSTRAINT_GUIDED,3,3,1.0,"[4,423.510181924,69.382613231,3]",4,423.5101819239308,69.38261323056489,3,4.0,4.0,4.0,0.0,423.5101819239308,423.5101819239308,423.5101819239308,0.0,69.38261323056489,69.38261323056489,69.38261323056489,0.0,3.0,3.0,3.0,0.0,0.34190224967217847,0.34290329201030545,0.3590117910061963,0.014395968548740104,1000.0,1000.0,1000.0,0.0
