acceptance_trajectory_hash,axis,backend,cache_lifecycle_valid,candidate_hashes_valid,candidate_reconciliation_valid,candidate_transaction_valid,candidate_work_hash,completed_calls,deadline_transaction_valid,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,recomputed_candidate_work_hash,recomputed_route_result_hash,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
6e4d21620bc9f881f0a5e266be0c910206b6ff6a3bfb83ccbaf8988166a4ea19,serial_wall_clock,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,iteration_limit,0,True
6e4d21620bc9f881f0a5e266be0c910206b6ff6a3bfb83ccbaf8988166a4ea19,parallel_wall_clock,cpu_batch,True,True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,True,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,iteration_limit,0,True
6d3c321db7f4584064cc646a7643ae28fdc4eeb88fb398142bff6482c49a55ea,serial_fixed_exact_calls,cpu_batch,True,True,True,True,5b73c227c2ac7ddd4c7a480b77a4443cbe8adf6a973fc054e9a51ff73eb030a2,22,True,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,5b73c227c2ac7ddd4c7a480b77a4443cbe8adf6a973fc054e9a51ff73eb030a2,1d7b095cf313684da2d1e43821efd2cd960ccafaf0064165d29459b0fad68d64,1d7b095cf313684da2d1e43821efd2cd960ccafaf0064165d29459b0fad68d64,2014,22,candidate_control_exhausted,0,True
6d3c321db7f4584064cc646a7643ae28fdc4eeb88fb398142bff6482c49a55ea,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,5b73c227c2ac7ddd4c7a480b77a4443cbe8adf6a973fc054e9a51ff73eb030a2,22,True,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,5b73c227c2ac7ddd4c7a480b77a4443cbe8adf6a973fc054e9a51ff73eb030a2,1d7b095cf313684da2d1e43821efd2cd960ccafaf0064165d29459b0fad68d64,1d7b095cf313684da2d1e43821efd2cd960ccafaf0064165d29459b0fad68d64,2014,22,candidate_control_exhausted,0,True
2ad4df197a065eea21fda69b578a948f29c6d55384fea4b0a3e82242009b1b58,serial_wall_clock,cpu_batch,True,True,True,True,c00101f4414c6f1b65bba0d844001d8707aad8b665b4a8912d3609e0928b2cf1,24,True,109,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,c00101f4414c6f1b65bba0d844001d8707aad8b665b4a8912d3609e0928b2cf1,471614c853172c7681828d1765bb777fbc12833d28883383e114313709342a2b,471614c853172c7681828d1765bb777fbc12833d28883383e114313709342a2b,2014,24,wall_clock_deadline,0,True
f1771a1b986033aac9bd1fd0e4ac6ae64c048c6a42bc92bee10a28d57bffa9ef,parallel_wall_clock,cpu_batch,True,True,True,True,c00101f4414c6f1b65bba0d844001d8707aad8b665b4a8912d3609e0928b2cf1,24,True,109,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,c00101f4414c6f1b65bba0d844001d8707aad8b665b4a8912d3609e0928b2cf1,471614c853172c7681828d1765bb777fbc12833d28883383e114313709342a2b,471614c853172c7681828d1765bb777fbc12833d28883383e114313709342a2b,2014,24,wall_clock_deadline,0,True
4dabf6698258290eaf3634126a7241260b393382237d9459f2127ca00b890fc1,serial_fixed_exact_calls,cpu_batch,True,True,True,True,cc0d79e3a24943448e3bccb4e210fe3308946dadfc6281ba53331e907a48b545,22,True,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,cc0d79e3a24943448e3bccb4e210fe3308946dadfc6281ba53331e907a48b545,e01f408c52f1b71a475d93f07f89516cc9f9a2a9a299263f9596dc587c3d2172,e01f408c52f1b71a475d93f07f89516cc9f9a2a9a299263f9596dc587c3d2172,2015,22,candidate_control_exhausted,0,True
4dabf6698258290eaf3634126a7241260b393382237d9459f2127ca00b890fc1,parallel_fixed_exact_calls,cpu_batch,True,True,True,True,cc0d79e3a24943448e3bccb4e210fe3308946dadfc6281ba53331e907a48b545,22,True,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,cc0d79e3a24943448e3bccb4e210fe3308946dadfc6281ba53331e907a48b545,e01f408c52f1b71a475d93f07f89516cc9f9a2a9a299263f9596dc587c3d2172,e01f408c52f1b71a475d93f07f89516cc9f9a2a9a299263f9596dc587c3d2172,2015,22,candidate_control_exhausted,0,True
cdbf7842433c2290d18fdfd6f860e92f481b1e39e3fa54ed8c69c7bfedc730ea,serial_wall_clock,cpu_batch,True,True,True,True,923036b076516f72a5bcca0e28c0fa99240cb51cdbe8f4e3e63e8cb75e83aeca,26,True,109,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,923036b076516f72a5bcca0e28c0fa99240cb51cdbe8f4e3e63e8cb75e83aeca,f17c0ad646f2690e1b53ecda3056184dbeff327d329cd733b08a331f8bab62b3,f17c0ad646f2690e1b53ecda3056184dbeff327d329cd733b08a331f8bab62b3,2015,26,wall_clock_deadline,0,True
cdbf7842433c2290d18fdfd6f860e92f481b1e39e3fa54ed8c69c7bfedc730ea,parallel_wall_clock,cpu_batch,True,True,True,True,923036b076516f72a5bcca0e28c0fa99240cb51cdbe8f4e3e63e8cb75e83aeca,26,True,109,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,923036b076516f72a5bcca0e28c0fa99240cb51cdbe8f4e3e63e8cb75e83aeca,f17c0ad646f2690e1b53ecda3056184dbeff327d329cd733b08a331f8bab62b3,f17c0ad646f2690e1b53ecda3056184dbeff327d329cd733b08a331f8bab62b3,2015,26,wall_clock_deadline,0,True
