axis,backend,budget_exhaustions,completed_calls,exact_call_budget,instance,interrupted_calls,mode,schema_version,seed,started_calls,watchdog_seconds
serial_fixed_exact_calls,cpu_batch,0,35,100,rc101_21,0,exact_call_budget,stage033-exact-deadline-v1,2015,35,120.0
parallel_fixed_exact_calls,cpu_batch,0,35,100,rc101_21,0,exact_call_budget,stage033-exact-deadline-v1,2015,35,120.0
serial_wall_clock,cpu_batch,0,37,,rc101_21,0,wall_clock,stage033-exact-deadline-v1,2015,37,
parallel_wall_clock,cpu_batch,0,37,,rc101_21,0,wall_clock,stage033-exact-deadline-v1,2015,37,
serial_fixed_exact_calls,cpu_batch,0,33,100,rc101_21,0,exact_call_budget,stage033-exact-deadline-v1,2016,33,120.0
parallel_fixed_exact_calls,cpu_batch,0,33,100,rc101_21,0,exact_call_budget,stage033-exact-deadline-v1,2016,33,120.0
serial_wall_clock,cpu_batch,0,37,,rc101_21,0,wall_clock,stage033-exact-deadline-v1,2016,37,
parallel_wall_clock,cpu_batch,0,37,,rc101_21,0,wall_clock,stage033-exact-deadline-v1,2016,37,
serial_fixed_exact_calls,cpu_batch,0,2,100,rc105C5,0,exact_call_budget,stage033-exact-deadline-v1,2014,2,120.0
parallel_fixed_exact_calls,cpu_batch,0,2,100,rc105C5,0,exact_call_budget,stage033-exact-deadline-v1,2014,2,120.0
serial_wall_clock,cpu_batch,0,2,,rc105C5,0,wall_clock,stage033-exact-deadline-v1,2014,2,
parallel_wall_clock,cpu_batch,0,2,,rc105C5,0,wall_clock,stage033-exact-deadline-v1,2014,2,
serial_fixed_exact_calls,cpu_batch,0,2,100,rc105C5,0,exact_call_budget,stage033-exact-deadline-v1,2015,2,120.0
parallel_fixed_exact_calls,cpu_batch,0,2,100,rc105C5,0,exact_call_budget,stage033-exact-deadline-v1,2015,2,120.0
serial_wall_clock,cpu_batch,0,2,,rc105C5,0,wall_clock,stage033-exact-deadline-v1,2015,2,
parallel_wall_clock,cpu_batch,0,2,,rc105C5,0,wall_clock,stage033-exact-deadline-v1,2015,2,
serial_fixed_exact_calls,cpu_batch,0,2,100,rc105C5,0,exact_call_budget,stage033-exact-deadline-v1,2016,2,120.0
parallel_fixed_exact_calls,cpu_batch,0,2,100,rc105C5,0,exact_call_budget,stage033-exact-deadline-v1,2016,2,120.0
serial_wall_clock,cpu_batch,0,2,,rc105C5,0,wall_clock,stage033-exact-deadline-v1,2016,2,
parallel_wall_clock,cpu_batch,0,2,,rc105C5,0,wall_clock,stage033-exact-deadline-v1,2016,2,
