"source_path","source_sha256","source_bytes","disposition","target_path","target_sha256","reason"
"src/evrptw/stage052_storage_migration.py","48cd0c888caf934cbbfc891f21e069aff0f3c9d056bfa0a4e716d44287709b0d","13075","migrated_unchanged","src/evrptw/stage052_storage_migration.py","48cd0c888caf934cbbfc891f21e069aff0f3c9d056bfa0a4e716d44287709b0d","Byte-identical scientific source retained"
"src/evrptw/validation.py","531c50f99059f18a8ed500940320a1c5c30af1ce290597f4a282acd34c128c26","5479","migrated_unchanged","src/evrptw/validation.py","531c50f99059f18a8ed500940320a1c5c30af1ce290597f4a282acd34c128c26","Byte-identical scientific source retained"
"tests/test_alns.py","9a952ab579058a172fb0e48999d05496bd58545e776c3a348db4ca15653f2564","5846","migrated_unchanged","tests/test_alns.py","9a952ab579058a172fb0e48999d05496bd58545e776c3a348db4ca15653f2564","Byte-identical scientific source retained"
"tests/test_alns_wall_clock_only.py","0bf741d1e4929564882dd8ff48775f0c589e957328aa00c7309176656fd16481","7391","migrated_unchanged","tests/test_alns_wall_clock_only.py","0bf741d1e4929564882dd8ff48775f0c589e957328aa00c7309176656fd16481","Byte-identical scientific source retained"
"tests/test_artifacts.py","a2c2cf7d784ebeacdef1cca5ab9893588678b9723d9241b512507b938d9e114e","26939","migrated_modified_publication","tests/test_artifacts.py","598291d93118705eb9eec7868680374828d200548997792632e36d496406017e","Retained and updated for repository separation or publication packaging"
"tests/test_artifacts_v3.py","4da79f2adaf7c0f14394c3a3698009f4d290d99df40797f5197b157ccadbbd66","91161","migrated_modified_publication","tests/test_artifacts_v3.py","efb81c96a602b0820ee5539d4c2a524d578f99573152d459bd7c49b8221eaecf","Retained and updated for repository separation or publication packaging"
"tests/test_benchmark_audit.py","a24e1c021e83d5212eed3b0cd8de9572b69f433870c198f9ede25e629c9d928b","1469","migrated_modified_publication","tests/test_benchmark_audit.py","7877b8bc037241eef6a473290968cfaf29daa6183beed48cc8b015ee4d2713e2","Retained and updated for repository separation or publication packaging"
"tests/test_bpc.py","5b7d4bc89b3745ad89cad8c224231f659a5be228d0874b6a59e19ef9a1fef7bf","3893","migrated_unchanged","tests/test_bpc.py","5b7d4bc89b3745ad89cad8c224231f659a5be228d0874b6a59e19ef9a1fef7bf","Byte-identical scientific source retained"
"tests/test_charging_repair.py","d87802181a03850dadb66c134f1a95a30a420040831bca0311211c622acf4bbe","8797","migrated_unchanged","tests/test_charging_repair.py","d87802181a03850dadb66c134f1a95a30a420040831bca0311211c622acf4bbe","Byte-identical scientific source retained"
"tests/test_cpu_batch.py","04dc975be10ca4fc552f1ead595204ad7462c665cff9f1da420f7e0449766f6e","17918","migrated_unchanged","tests/test_cpu_batch.py","04dc975be10ca4fc552f1ead595204ad7462c665cff9f1da420f7e0449766f6e","Byte-identical scientific source retained"
"tests/test_cpu_batch_pilot.py","08ec0aef28a4218f97c469455eae41f39cf0cd798cff90b7cf68f2214f025671","1352","migrated_unchanged","tests/test_cpu_batch_pilot.py","08ec0aef28a4218f97c469455eae41f39cf0cd798cff90b7cf68f2214f025671","Byte-identical scientific source retained"
"tests/test_exact_charging.py","be075e57d6e0c4858b622b12d4cdc393a27e62f26f46453db265a20f56836e49","1653","migrated_unchanged","tests/test_exact_charging.py","be075e57d6e0c4858b622b12d4cdc393a27e62f26f46453db265a20f56836e49","Byte-identical scientific source retained"
"tests/test_ga_vrptw_baseline.py","9941d80d454af97af3874d5da1b9ad25f042746fb43c9acd7bc324cda90a36c2","2168","migrated_modified_publication","tests/test_ga_vrptw_baseline.py","39ccd5da2510e3f026533b9c898193261012c9288fa6945de46517c6eb0f71c5","Retained and updated for repository separation or publication packaging"
"tests/test_native_numeric_kernels.py","3cab2072a54bae1514856254b2c40ff26c22c64905056f19b8f6e3b27d7a4197","28695","migrated_modified_publication","tests/test_native_numeric_kernels.py","42cce2084176fc0dfb107e22b1668179fb16b2e62780ab74664d646f09b138f2","Retained and updated for repository separation or publication packaging"
