axis,count,instance,lookup_result,operation,seed
serial_fixed_exact_calls,2,c101C5,hit,lookup_result,2014
serial_fixed_exact_calls,28,c101C5,miss,lookup_result,2014
serial_fixed_exact_calls,2,c101C5,,store,2014
parallel_fixed_exact_calls,2,c101C5,hit,lookup_result,2014
parallel_fixed_exact_calls,28,c101C5,miss,lookup_result,2014
parallel_fixed_exact_calls,2,c101C5,,store,2014
serial_wall_clock,2,c101C5,hit,lookup_result,2014
serial_wall_clock,394,c101C5,miss,lookup_result,2014
serial_wall_clock,2,c101C5,,store,2014
parallel_wall_clock,2,c101C5,hit,lookup_result,2014
parallel_wall_clock,394,c101C5,miss,lookup_result,2014
parallel_wall_clock,2,c101C5,,store,2014
serial_fixed_exact_calls,2,c101C5,hit,lookup_result,2015
serial_fixed_exact_calls,22,c101C5,miss,lookup_result,2015
serial_fixed_exact_calls,2,c101C5,,store,2015
parallel_fixed_exact_calls,2,c101C5,hit,lookup_result,2015
parallel_fixed_exact_calls,22,c101C5,miss,lookup_result,2015
parallel_fixed_exact_calls,2,c101C5,,store,2015
serial_wall_clock,2,c101C5,hit,lookup_result,2015
serial_wall_clock,432,c101C5,miss,lookup_result,2015
serial_wall_clock,2,c101C5,,store,2015
parallel_wall_clock,2,c101C5,hit,lookup_result,2015
parallel_wall_clock,432,c101C5,miss,lookup_result,2015
parallel_wall_clock,2,c101C5,,store,2015
serial_fixed_exact_calls,2,c101C5,hit,lookup_result,2016
serial_fixed_exact_calls,38,c101C5,miss,lookup_result,2016
serial_fixed_exact_calls,2,c101C5,,store,2016
parallel_fixed_exact_calls,2,c101C5,hit,lookup_result,2016
parallel_fixed_exact_calls,38,c101C5,miss,lookup_result,2016
parallel_fixed_exact_calls,2,c101C5,,store,2016
serial_wall_clock,2,c101C5,hit,lookup_result,2016
serial_wall_clock,446,c101C5,miss,lookup_result,2016
serial_wall_clock,2,c101C5,,store,2016
parallel_wall_clock,2,c101C5,hit,lookup_result,2016
parallel_wall_clock,446,c101C5,miss,lookup_result,2016
parallel_wall_clock,2,c101C5,,store,2016
serial_fixed_exact_calls,72,c101_21,hit,lookup_result,2014
serial_fixed_exact_calls,93,c101_21,miss,lookup_result,2014
serial_fixed_exact_calls,22,c101_21,,store,2014
parallel_fixed_exact_calls,72,c101_21,hit,lookup_result,2014
parallel_fixed_exact_calls,93,c101_21,miss,lookup_result,2014
parallel_fixed_exact_calls,22,c101_21,,store,2014
serial_wall_clock,82,c101_21,hit,lookup_result,2014
serial_wall_clock,125,c101_21,miss,lookup_result,2014
serial_wall_clock,24,c101_21,,store,2014
parallel_wall_clock,82,c101_21,hit,lookup_result,2014
parallel_wall_clock,125,c101_21,miss,lookup_result,2014
parallel_wall_clock,24,c101_21,,store,2014
serial_fixed_exact_calls,50,c101_21,hit,lookup_result,2015
serial_fixed_exact_calls,99,c101_21,miss,lookup_result,2015
serial_fixed_exact_calls,22,c101_21,,store,2015
parallel_fixed_exact_calls,50,c101_21,hit,lookup_result,2015
parallel_fixed_exact_calls,99,c101_21,miss,lookup_result,2015
parallel_fixed_exact_calls,22,c101_21,,store,2015
serial_wall_clock,72,c101_21,hit,lookup_result,2015
serial_wall_clock,131,c101_21,miss,lookup_result,2015
serial_wall_clock,26,c101_21,,store,2015
parallel_wall_clock,72,c101_21,hit,lookup_result,2015
parallel_wall_clock,131,c101_21,miss,lookup_result,2015
parallel_wall_clock,26,c101_21,,store,2015
serial_fixed_exact_calls,57,c101_21,hit,lookup_result,2016
serial_fixed_exact_calls,89,c101_21,miss,lookup_result,2016
serial_fixed_exact_calls,20,c101_21,,store,2016
parallel_fixed_exact_calls,57,c101_21,hit,lookup_result,2016
parallel_fixed_exact_calls,89,c101_21,miss,lookup_result,2016
parallel_fixed_exact_calls,20,c101_21,,store,2016
serial_wall_clock,70,c101_21,hit,lookup_result,2016
serial_wall_clock,118,c101_21,miss,lookup_result,2016
serial_wall_clock,24,c101_21,,store,2016
parallel_wall_clock,70,c101_21,hit,lookup_result,2016
parallel_wall_clock,118,c101_21,miss,lookup_result,2016
parallel_wall_clock,24,c101_21,,store,2016
serial_fixed_exact_calls,34,c104C10,hit,lookup_result,2014
serial_fixed_exact_calls,72,c104C10,miss,lookup_result,2014
serial_fixed_exact_calls,20,c104C10,,store,2014
parallel_fixed_exact_calls,34,c104C10,hit,lookup_result,2014
parallel_fixed_exact_calls,72,c104C10,miss,lookup_result,2014
parallel_fixed_exact_calls,20,c104C10,,store,2014
serial_wall_clock,324,c104C10,hit,lookup_result,2014
serial_wall_clock,215,c104C10,miss,lookup_result,2014
serial_wall_clock,67,c104C10,,store,2014
parallel_wall_clock,324,c104C10,hit,lookup_result,2014
parallel_wall_clock,215,c104C10,miss,lookup_result,2014
parallel_wall_clock,67,c104C10,,store,2014
serial_fixed_exact_calls,63,c104C10,hit,lookup_result,2015
serial_fixed_exact_calls,71,c104C10,miss,lookup_result,2015
serial_fixed_exact_calls,14,c104C10,,store,2015
parallel_fixed_exact_calls,63,c104C10,hit,lookup_result,2015
parallel_fixed_exact_calls,71,c104C10,miss,lookup_result,2015
parallel_fixed_exact_calls,14,c104C10,,store,2015
serial_wall_clock,835,c104C10,hit,lookup_result,2015
serial_wall_clock,356,c104C10,miss,lookup_result,2015
serial_wall_clock,59,c104C10,,store,2015
parallel_wall_clock,835,c104C10,hit,lookup_result,2015
parallel_wall_clock,356,c104C10,miss,lookup_result,2015
parallel_wall_clock,59,c104C10,,store,2015
serial_fixed_exact_calls,52,c104C10,hit,lookup_result,2016
serial_fixed_exact_calls,72,c104C10,miss,lookup_result,2016
serial_fixed_exact_calls,14,c104C10,,store,2016
parallel_fixed_exact_calls,52,c104C10,hit,lookup_result,2016
parallel_fixed_exact_calls,72,c104C10,miss,lookup_result,2016
parallel_fixed_exact_calls,14,c104C10,,store,2016
serial_wall_clock,3,c104C10,,candidate_pending_hit,2016
serial_wall_clock,779,c104C10,hit,lookup_result,2016
serial_wall_clock,327,c104C10,miss,lookup_result,2016
serial_wall_clock,94,c104C10,,store,2016
parallel_wall_clock,3,c104C10,,candidate_pending_hit,2016
parallel_wall_clock,779,c104C10,hit,lookup_result,2016
parallel_wall_clock,327,c104C10,miss,lookup_result,2016
parallel_wall_clock,94,c104C10,,store,2016
serial_fixed_exact_calls,1,c106C15,,candidate_pending_hit,2014
serial_fixed_exact_calls,57,c106C15,hit,lookup_result,2014
serial_fixed_exact_calls,83,c106C15,miss,lookup_result,2014
serial_fixed_exact_calls,18,c106C15,,store,2014
parallel_fixed_exact_calls,1,c106C15,,candidate_pending_hit,2014
parallel_fixed_exact_calls,57,c106C15,hit,lookup_result,2014
parallel_fixed_exact_calls,83,c106C15,miss,lookup_result,2014
parallel_fixed_exact_calls,18,c106C15,,store,2014
serial_wall_clock,1,c106C15,,candidate_pending_hit,2014
serial_wall_clock,495,c106C15,hit,lookup_result,2014
serial_wall_clock,281,c106C15,miss,lookup_result,2014
serial_wall_clock,58,c106C15,,store,2014
parallel_wall_clock,1,c106C15,,candidate_pending_hit,2014
parallel_wall_clock,495,c106C15,hit,lookup_result,2014
parallel_wall_clock,281,c106C15,miss,lookup_result,2014
parallel_wall_clock,58,c106C15,,store,2014
serial_fixed_exact_calls,37,c106C15,hit,lookup_result,2015
serial_fixed_exact_calls,155,c106C15,miss,lookup_result,2015
serial_fixed_exact_calls,16,c106C15,,store,2015
parallel_fixed_exact_calls,37,c106C15,hit,lookup_result,2015
parallel_fixed_exact_calls,155,c106C15,miss,lookup_result,2015
parallel_fixed_exact_calls,16,c106C15,,store,2015
serial_wall_clock,5,c106C15,,candidate_pending_hit,2015
serial_wall_clock,1209,c106C15,hit,lookup_result,2015
serial_wall_clock,586,c106C15,miss,lookup_result,2015
serial_wall_clock,67,c106C15,,store,2015
parallel_wall_clock,5,c106C15,,candidate_pending_hit,2015
parallel_wall_clock,1209,c106C15,hit,lookup_result,2015
parallel_wall_clock,586,c106C15,miss,lookup_result,2015
parallel_wall_clock,67,c106C15,,store,2015
serial_fixed_exact_calls,1,c106C15,,candidate_pending_hit,2016
serial_fixed_exact_calls,24,c106C15,hit,lookup_result,2016
serial_fixed_exact_calls,64,c106C15,miss,lookup_result,2016
serial_fixed_exact_calls,12,c106C15,,store,2016
parallel_fixed_exact_calls,1,c106C15,,candidate_pending_hit,2016
parallel_fixed_exact_calls,24,c106C15,hit,lookup_result,2016
parallel_fixed_exact_calls,64,c106C15,miss,lookup_result,2016
parallel_fixed_exact_calls,12,c106C15,,store,2016
serial_wall_clock,3,c106C15,,candidate_pending_hit,2016
serial_wall_clock,373,c106C15,hit,lookup_result,2016
serial_wall_clock,315,c106C15,miss,lookup_result,2016
serial_wall_clock,51,c106C15,,store,2016
parallel_wall_clock,3,c106C15,,candidate_pending_hit,2016
parallel_wall_clock,373,c106C15,hit,lookup_result,2016
parallel_wall_clock,315,c106C15,miss,lookup_result,2016
parallel_wall_clock,51,c106C15,,store,2016
serial_fixed_exact_calls,84,r101_21,hit,lookup_result,2014
serial_fixed_exact_calls,132,r101_21,miss,lookup_result,2014
serial_fixed_exact_calls,30,r101_21,,store,2014
parallel_fixed_exact_calls,84,r101_21,hit,lookup_result,2014
parallel_fixed_exact_calls,132,r101_21,miss,lookup_result,2014
parallel_fixed_exact_calls,30,r101_21,,store,2014
serial_wall_clock,107,r101_21,hit,lookup_result,2014
serial_wall_clock,187,r101_21,miss,lookup_result,2014
serial_wall_clock,32,r101_21,,store,2014
parallel_wall_clock,107,r101_21,hit,lookup_result,2014
parallel_wall_clock,187,r101_21,miss,lookup_result,2014
parallel_wall_clock,32,r101_21,,store,2014
serial_fixed_exact_calls,35,r101_21,hit,lookup_result,2015
serial_fixed_exact_calls,123,r101_21,miss,lookup_result,2015
serial_fixed_exact_calls,25,r101_21,,store,2015
parallel_fixed_exact_calls,35,r101_21,hit,lookup_result,2015
parallel_fixed_exact_calls,123,r101_21,miss,lookup_result,2015
parallel_fixed_exact_calls,25,r101_21,,store,2015
serial_wall_clock,90,r101_21,hit,lookup_result,2015
serial_wall_clock,206,r101_21,miss,lookup_result,2015
serial_wall_clock,33,r101_21,,store,2015
parallel_wall_clock,90,r101_21,hit,lookup_result,2015
parallel_wall_clock,206,r101_21,miss,lookup_result,2015
parallel_wall_clock,33,r101_21,,store,2015
serial_fixed_exact_calls,113,r101_21,hit,lookup_result,2016
serial_fixed_exact_calls,198,r101_21,miss,lookup_result,2016
serial_fixed_exact_calls,35,r101_21,,store,2016
parallel_fixed_exact_calls,113,r101_21,hit,lookup_result,2016
parallel_fixed_exact_calls,198,r101_21,miss,lookup_result,2016
parallel_fixed_exact_calls,35,r101_21,,store,2016
serial_wall_clock,143,r101_21,hit,lookup_result,2016
serial_wall_clock,235,r101_21,miss,lookup_result,2016
serial_wall_clock,36,r101_21,,store,2016
parallel_wall_clock,143,r101_21,hit,lookup_result,2016
parallel_wall_clock,235,r101_21,miss,lookup_result,2016
parallel_wall_clock,36,r101_21,,store,2016
serial_fixed_exact_calls,97,r103C10,hit,lookup_result,2014
serial_fixed_exact_calls,90,r103C10,miss,lookup_result,2014
serial_fixed_exact_calls,27,r103C10,,store,2014
parallel_fixed_exact_calls,97,r103C10,hit,lookup_result,2014
parallel_fixed_exact_calls,90,r103C10,miss,lookup_result,2014
parallel_fixed_exact_calls,27,r103C10,,store,2014
serial_wall_clock,4,r103C10,,candidate_pending_hit,2014
serial_wall_clock,1079,r103C10,hit,lookup_result,2014
serial_wall_clock,329,r103C10,miss,lookup_result,2014
serial_wall_clock,138,r103C10,,store,2014
parallel_wall_clock,4,r103C10,,candidate_pending_hit,2014
parallel_wall_clock,1079,r103C10,hit,lookup_result,2014
parallel_wall_clock,329,r103C10,miss,lookup_result,2014
parallel_wall_clock,138,r103C10,,store,2014
serial_fixed_exact_calls,1,r103C10,,candidate_pending_hit,2015
serial_fixed_exact_calls,102,r103C10,hit,lookup_result,2015
serial_fixed_exact_calls,102,r103C10,miss,lookup_result,2015
serial_fixed_exact_calls,32,r103C10,,store,2015
parallel_fixed_exact_calls,1,r103C10,,candidate_pending_hit,2015
parallel_fixed_exact_calls,102,r103C10,hit,lookup_result,2015
parallel_fixed_exact_calls,102,r103C10,miss,lookup_result,2015
parallel_fixed_exact_calls,32,r103C10,,store,2015
serial_wall_clock,2,r103C10,,candidate_pending_hit,2015
serial_wall_clock,721,r103C10,hit,lookup_result,2015
serial_wall_clock,239,r103C10,miss,lookup_result,2015
serial_wall_clock,86,r103C10,,store,2015
parallel_wall_clock,2,r103C10,,candidate_pending_hit,2015
parallel_wall_clock,721,r103C10,hit,lookup_result,2015
parallel_wall_clock,239,r103C10,miss,lookup_result,2015
parallel_wall_clock,86,r103C10,,store,2015
serial_fixed_exact_calls,22,r103C10,hit,lookup_result,2016
serial_fixed_exact_calls,51,r103C10,miss,lookup_result,2016
serial_fixed_exact_calls,14,r103C10,,store,2016
parallel_fixed_exact_calls,22,r103C10,hit,lookup_result,2016
parallel_fixed_exact_calls,51,r103C10,miss,lookup_result,2016
parallel_fixed_exact_calls,14,r103C10,,store,2016
serial_wall_clock,2,r103C10,,candidate_pending_hit,2016
serial_wall_clock,1021,r103C10,hit,lookup_result,2016
serial_wall_clock,226,r103C10,miss,lookup_result,2016
serial_wall_clock,102,r103C10,,store,2016
parallel_wall_clock,2,r103C10,,candidate_pending_hit,2016
parallel_wall_clock,1021,r103C10,hit,lookup_result,2016
parallel_wall_clock,226,r103C10,miss,lookup_result,2016
parallel_wall_clock,102,r103C10,,store,2016
