acceptance_trajectory_hash,axis,backend,candidate_reconciliation_valid,candidate_work_hash,completed_calls,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
f01d7d323f6f9e9ad095e0a74f2006dce5324f168e562a02c931c310d63635cc,serial_wall_clock,cpu_batch,True,c00101f4414c6f1b65bba0d844001d8707aad8b665b4a8912d3609e0928b2cf1,24,112,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,471614c853172c7681828d1765bb777fbc12833d28883383e114313709342a2b,2014,24,wall_clock_deadline,0,True
5bc7ab3f04c08ad5c3628534d689a7f299b11ec36fe308f6e6fa17458ed1030d,parallel_wall_clock,cpu_batch,True,c00101f4414c6f1b65bba0d844001d8707aad8b665b4a8912d3609e0928b2cf1,24,112,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,471614c853172c7681828d1765bb777fbc12833d28883383e114313709342a2b,2014,24,wall_clock_deadline,0,True
4b1e0d16b9751e2f199029774f1145fea5405afe2fa2cf40d0e361e488cbd924,serial_fixed_exact_calls,cpu_batch,True,cc0d79e3a24943448e3bccb4e210fe3308946dadfc6281ba53331e907a48b545,22,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,e01f408c52f1b71a475d93f07f89516cc9f9a2a9a299263f9596dc587c3d2172,2015,22,candidate_control_exhausted,0,True
4b1e0d16b9751e2f199029774f1145fea5405afe2fa2cf40d0e361e488cbd924,parallel_fixed_exact_calls,cpu_batch,True,cc0d79e3a24943448e3bccb4e210fe3308946dadfc6281ba53331e907a48b545,22,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,e01f408c52f1b71a475d93f07f89516cc9f9a2a9a299263f9596dc587c3d2172,2015,22,candidate_control_exhausted,0,True
55be154d321a350a526e0760b325c52dd3418452960cdf6f3cc0cb29c2c41315,serial_wall_clock,cpu_batch,True,923036b076516f72a5bcca0e28c0fa99240cb51cdbe8f4e3e63e8cb75e83aeca,26,115,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,f17c0ad646f2690e1b53ecda3056184dbeff327d329cd733b08a331f8bab62b3,2015,26,wall_clock_deadline,0,True
f5659e42c6a91c4d1131cfbe5064ae37b14820154bf8112affec51367399c51a,parallel_wall_clock,cpu_batch,True,923036b076516f72a5bcca0e28c0fa99240cb51cdbe8f4e3e63e8cb75e83aeca,26,115,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,f17c0ad646f2690e1b53ecda3056184dbeff327d329cd733b08a331f8bab62b3,2015,26,wall_clock_deadline,0,True
1bb3653b7c65d2f94111ae4086b3db3dfad8969924538bae9cb0b54721652fe8,serial_fixed_exact_calls,cpu_batch,True,cfa61f42604d3f790cf8f2a44ee027159b7ddb3c90ea2a18c1377cd33e4edc14,20,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,6afc5707ec98852343f77119999aef688937086945ab2f4b7bfb9e8910acd7d6,2016,20,candidate_control_exhausted,0,True
1bb3653b7c65d2f94111ae4086b3db3dfad8969924538bae9cb0b54721652fe8,parallel_fixed_exact_calls,cpu_batch,True,cfa61f42604d3f790cf8f2a44ee027159b7ddb3c90ea2a18c1377cd33e4edc14,20,50,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,6afc5707ec98852343f77119999aef688937086945ab2f4b7bfb9e8910acd7d6,2016,20,candidate_control_exhausted,0,True
9ead41fb424bde16eb52c0ad4e53b773cd88b24387faab3b5e21f8a1656398f8,serial_wall_clock,cpu_batch,True,9c71cbfd08ac0df053db405e193b47bd8f79e8d9d838015bfbff239fb0cbb3d2,24,112,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,2752c2290c82aecca42044f7ffa3d53dee65394073a6351d2ed3614f07350c05,2016,24,wall_clock_deadline,0,True
9ead41fb424bde16eb52c0ad4e53b773cd88b24387faab3b5e21f8a1656398f8,parallel_wall_clock,cpu_batch,True,9c71cbfd08ac0df053db405e193b47bd8f79e8d9d838015bfbff239fb0cbb3d2,24,112,True,True,c101_21,"[12,1055.920259047,1386.415951629,8]",True,True,True,2752c2290c82aecca42044f7ffa3d53dee65394073a6351d2ed3614f07350c05,2016,24,wall_clock_deadline,0,True
a5991b7db7a4798310b96da8e772aa01d6e06c5128a313f206304ae060a70fae,serial_fixed_exact_calls,cpu_batch,True,8f7cce3fc2ef0ad0425978146ff6c51fc054d9384922d6403128df7a0762995d,20,52,True,True,c104C10,"[2,273.931237129,589.151039592,3]",True,True,True,dd503df6e7f561f4cb44a7ee92ed6d20462ef2b2ddf40972698c3038dced27ac,2014,20,candidate_control_exhausted,0,True
a5991b7db7a4798310b96da8e772aa01d6e06c5128a313f206304ae060a70fae,parallel_fixed_exact_calls,cpu_batch,True,8f7cce3fc2ef0ad0425978146ff6c51fc054d9384922d6403128df7a0762995d,20,52,True,True,c104C10,"[2,273.931237129,589.151039592,3]",True,True,True,dd503df6e7f561f4cb44a7ee92ed6d20462ef2b2ddf40972698c3038dced27ac,2014,20,candidate_control_exhausted,0,True
790b4d6c1ac875f43c81361e394b792f88d19005270f6d4659a472fea64226cc,serial_wall_clock,cpu_batch,True,542fbe5f570fd6b937a5ad99cbc1ab6dbe69f457b17c3ed8731e26e60f7a8e90,67,1000,True,True,c104C10,"[2,273.931237129,589.151039592,3]",True,True,True,08f93e5296e428bec31a82894bc52c23bc59c3b975d4e007948bbb01f0585361,2014,67,iteration_limit,0,True
