instance,seed,axis,backend,batch_launches,exact_calls,packing_seconds,total_seconds,transitions,unpacking_seconds,started_calls,completed_calls,interrupted_calls
r105C15,2016,wall_clock,cpu_batch,440,454,0.003378305038495455,0.36108880404935917,174056,0.0041100239868683275,454,454,0
r105C5,2014,fixed_exact_calls,cpu_batch,18,22,8.824799442663789e-05,0.003712876005010912,1406,0.00017537499297759496,22,22,0
r105C5,2014,wall_clock,cpu_batch,18,22,8.604199683759362e-05,0.00371983499644557,1406,0.00016078900443972088,22,22,0
r105C5,2015,fixed_exact_calls,cpu_batch,18,22,9.029199281940237e-05,0.0037518759854719974,1406,0.00017478900190326385,22,22,0
r105C5,2015,wall_clock,cpu_batch,18,22,8.674698619870469e-05,0.0037298739989637397,1406,0.0001602509946678765,22,22,0
r105C5,2016,fixed_exact_calls,cpu_batch,18,22,8.712399721844122e-05,0.0037763759901281446,1406,0.00017808299526222982,22,22,0
r105C5,2016,wall_clock,cpu_batch,18,22,8.633498873678036e-05,0.0036372920003486797,1406,0.00015862500367802568,22,22,0
rc101_21,2014,fixed_exact_calls,cpu_batch,97,100,0.0015446669895027298,0.8446200499929546,478232,0.002761711977655068,100,100,0
rc101_21,2014,wall_clock,cpu_batch,2085,2133,0.03653803410270484,20.7937552269359,11789307,0.05930445397098083,2133,2132,1
rc101_21,2015,fixed_exact_calls,cpu_batch,97,100,0.0015319629965233617,0.842737249986385,473242,0.003006372007803293,100,100,0
rc101_21,2015,wall_clock,cpu_batch,1920,1985,0.03208709303726209,19.57084985504116,11017556,0.05938035710641998,1985,1984,1
rc101_21,2016,fixed_exact_calls,cpu_batch,97,100,0.0015884210224612616,0.8466152049986704,475814,0.002852745008567581,100,100,0
rc101_21,2016,wall_clock,cpu_batch,1981,2039,0.03280745005395147,20.336369008102338,11521709,0.059954588185064495,2039,2039,0
rc102C10,2014,fixed_exact_calls,cpu_batch,90,100,0.00044159399476484396,0.02730158301346819,11788,0.0007691250211792067,100,100,0
rc102C10,2014,wall_clock,cpu_batch,121,136,0.0006038760184310377,0.04059475798931089,17030,0.0011562489780772012,136,136,0
rc102C10,2015,fixed_exact_calls,cpu_batch,86,100,0.00044454398448579013,0.02893896103341831,12306,0.0009400809940416366,100,100,0
rc102C10,2015,wall_clock,cpu_batch,108,123,0.001715962978778407,0.037364300984336296,15415,0.0010613319900585338,123,123,0
rc102C10,2016,fixed_exact_calls,cpu_batch,90,100,0.0005166260125406552,0.029036295010882895,12502,0.0008373709933948703,100,100,0
rc102C10,2016,wall_clock,cpu_batch,125,138,0.0007924979909148533,0.04024854702947778,17246,0.0011966220299655106,138,138,0
rc103C15,2014,fixed_exact_calls,cpu_batch,46,100,0.0004068349844601471,0.043002040998544544,21412,0.0007883740108809434,100,100,0
rc103C15,2014,wall_clock,cpu_batch,724,867,0.004360555991297588,0.4499568509963865,216575,0.007154298051318619,867,867,0
rc103C15,2015,fixed_exact_calls,cpu_batch,46,100,0.000408456995501183,0.04301650099296239,21412,0.0007854170071368571,100,100,0
rc103C15,2015,wall_clock,cpu_batch,685,828,0.004027704995678505,0.42663039197577746,207144,0.006943137963389745,828,828,0
rc103C15,2016,fixed_exact_calls,cpu_batch,46,100,0.000408376996347215,0.04308570997818606,21412,0.0007976219967531506,100,100,0
rc103C15,2016,wall_clock,cpu_batch,720,883,0.004324543064285535,0.45880963592935586,221351,0.00733913002841291,883,883,0
rc105C5,2014,fixed_exact_calls,cpu_batch,19,22,9.366699305246584e-05,0.005795374003355391,2418,0.00022029000319889747,22,22,0
rc105C5,2014,wall_clock,cpu_batch,19,22,9.188001058646478e-05,0.005927956008235924,2418,0.00021729099898948334,22,22,0
rc105C5,2015,fixed_exact_calls,cpu_batch,19,22,0.0001124989939853549,0.005759374991612276,2418,0.00021241799549898133,22,22,0
rc105C5,2015,wall_clock,cpu_batch,19,22,9.745699935592711e-05,0.005838707998918835,2418,0.00020591400607372634,22,22,0
rc105C5,2016,fixed_exact_calls,cpu_batch,19,22,9.587999738869257e-05,0.005856583000422688,2418,0.00022454300051322207,22,22,0
rc105C5,2016,wall_clock,cpu_batch,19,22,8.77090024005156e-05,0.005869291973795043,2418,0.00020279099408071488,22,22,0
