axis,effective_iterations,effective_iterations_per_second,instance,peak_rss_bytes,runtime_seconds,seed,started_calls
serial_fixed_exact_calls,50,3811.871631640499,rc105C5,273022976,0.01311691600130871,2014,2
parallel_fixed_exact_calls,50,458.43626144219576,rc105C5,273022976,0.10906641600013245,2014,2
serial_wall_clock,1000,6237.218574576008,rc105C5,273022976,0.160327875004441,2014,2
parallel_wall_clock,1000,3867.2053353639276,rc105C5,273022976,0.2585846660003881,2014,2
serial_fixed_exact_calls,50,3763.513459431024,rc105C5,273022976,0.013285458000609651,2015,2
parallel_fixed_exact_calls,50,462.9601037481066,rc105C5,273022976,0.10800066700176103,2015,2
serial_wall_clock,1000,6085.657170358311,rc105C5,273022976,0.1643207910019555,2015,2
parallel_wall_clock,1000,3809.6223662122443,rc105C5,273022976,0.2624932090038783,2015,2
serial_fixed_exact_calls,50,3767.8146037093643,rc105C5,273022976,0.013270292001834605,2016,2
parallel_fixed_exact_calls,50,459.61057194926786,rc105C5,273022976,0.1087877500031027,2016,2
serial_wall_clock,1000,6154.499477706475,rc105C5,273022976,0.16248274999816203,2016,2
parallel_wall_clock,1000,3836.299970243785,rc105C5,273022976,0.2606678330048453,2016,2
