axis,instance,not_worse,objective_key,seed,stage033_wall_clock_objective
parallel_wall_clock,r101_21,True,"[20,1735.080023474,396.51781678,23]",2014,"[20,1735.080023474,396.51781678,23]"
serial_fixed_exact_calls,r101_21,True,"[20,1760.928139464,429.112245686,23]",2015,"[20,1760.928139464,429.112245686,23]"
parallel_fixed_exact_calls,r101_21,True,"[20,1760.928139464,429.112245686,23]",2015,"[20,1760.928139464,429.112245686,23]"
serial_wall_clock,r101_21,True,"[20,1760.928139464,429.112245686,23]",2015,"[20,1760.928139464,429.112245686,23]"
parallel_wall_clock,r101_21,True,"[20,1760.928139464,429.112245686,23]",2015,"[20,1760.928139464,429.112245686,23]"
serial_fixed_exact_calls,r101_21,True,"[20,1717.941592949,409.2004968,26]",2016,"[20,1718.126450884,387.496489613,24]"
parallel_fixed_exact_calls,r101_21,True,"[20,1717.941592949,409.2004968,26]",2016,"[20,1718.126450884,387.496489613,24]"
serial_wall_clock,r101_21,True,"[20,1717.941592949,409.2004968,26]",2016,"[20,1718.126450884,387.496489613,24]"
parallel_wall_clock,r101_21,True,"[20,1717.941592949,409.2004968,26]",2016,"[20,1718.126450884,387.496489613,24]"
serial_fixed_exact_calls,r103C10,True,"[2,207.051154172,49.247992351,3]",2014,"[2,207.051154172,49.247992351,3]"
parallel_fixed_exact_calls,r103C10,True,"[2,207.051154172,49.247992351,3]",2014,"[2,207.051154172,49.247992351,3]"
serial_wall_clock,r103C10,True,"[2,207.051154172,49.247992351,3]",2014,"[2,207.051154172,49.247992351,3]"
parallel_wall_clock,r103C10,True,"[2,207.051154172,49.247992351,3]",2014,"[2,207.051154172,49.247992351,3]"
serial_fixed_exact_calls,r103C10,True,"[2,207.051154172,49.247992351,3]",2015,"[2,207.051154172,49.247992351,3]"
parallel_fixed_exact_calls,r103C10,True,"[2,207.051154172,49.247992351,3]",2015,"[2,207.051154172,49.247992351,3]"
serial_wall_clock,r103C10,True,"[2,207.051154172,49.247992351,3]",2015,"[2,207.051154172,49.247992351,3]"
parallel_wall_clock,r103C10,True,"[2,207.051154172,49.247992351,3]",2015,"[2,207.051154172,49.247992351,3]"
serial_fixed_exact_calls,r103C10,True,"[2,207.051154172,49.247992351,3]",2016,"[2,207.051154172,49.247992351,3]"
parallel_fixed_exact_calls,r103C10,True,"[2,207.051154172,49.247992351,3]",2016,"[2,207.051154172,49.247992351,3]"
serial_wall_clock,r103C10,True,"[2,207.051154172,49.247992351,3]",2016,"[2,207.051154172,49.247992351,3]"
parallel_wall_clock,r103C10,True,"[2,207.051154172,49.247992351,3]",2016,"[2,207.051154172,49.247992351,3]"
serial_fixed_exact_calls,r105C15,True,"[4,336.1536021,80.684092212,4]",2014,"[4,336.1536021,80.684092212,4]"
parallel_fixed_exact_calls,r105C15,True,"[4,336.1536021,80.684092212,4]",2014,"[4,336.1536021,80.684092212,4]"
serial_wall_clock,r105C15,True,"[4,336.1536021,80.684092212,4]",2014,"[4,336.1536021,80.684092212,4]"
parallel_wall_clock,r105C15,True,"[4,336.1536021,80.684092212,4]",2014,"[4,336.1536021,80.684092212,4]"
serial_fixed_exact_calls,r105C15,True,"[4,338.888543976,80.684092212,4]",2015,"[4,338.888543976,80.684092212,4]"
parallel_fixed_exact_calls,r105C15,True,"[4,338.888543976,80.684092212,4]",2015,"[4,338.888543976,80.684092212,4]"
serial_wall_clock,r105C15,True,"[4,336.1536021,80.684092212,4]",2015,"[4,338.888543976,80.684092212,4]"
parallel_wall_clock,r105C15,True,"[4,336.1536021,80.684092212,4]",2015,"[4,338.888543976,80.684092212,4]"
