axis,backend,batch_launches,batch_size,budget_exhaustions,checkpoint_count,completed_calls,exact_call_budget,exact_calls,instance,interrupted_calls,label_management_seconds,mode,packing_seconds,schema_version,seed,started_calls,total_seconds,transition_batches,transition_seconds,transitions,unpacking_seconds,watchdog_seconds,work_batches
parallel_fixed_exact_calls,cpu_batch,12,128,0,11588,20,100,20,c101_21,0,0.2784710252744844,exact_call_budget,0.0007969569705892354,stage033-exact-deadline-v1,2016,20,0.3176709590043174,3782,0.03919993372983299,126030,0.0017521239933557808,120.0,12
serial_wall_clock,cpu_batch,11,128,0,10311,22,,22,c101_21,0,0.2676390897395322,wall_clock,0.0005287919921102002,stage033-exact-deadline-v1,2016,22,0.30898741698183585,3679,0.04134832724230364,137398,0.001360875990940258,,11
parallel_wall_clock,cpu_batch,14,128,0,12928,22,,22,c101_21,0,0.30616029878729023,wall_clock,0.0007785009656799957,stage033-exact-deadline-v1,2016,22,0.34950574999675155,4320,0.043345451209461316,137398,0.0018121670291293412,,14
serial_fixed_exact_calls,cpu_batch,19,128,0,2832,20,100,20,c104C10,0,0.01326671639981214,exact_call_budget,0.000155624991748482,stage033-exact-deadline-v1,2014,20,0.015158250054810196,1354,0.0018915336549980566,6172,0.000273792989901267,120.0,19
parallel_fixed_exact_calls,cpu_batch,20,128,0,2906,20,100,20,c104C10,0,0.01364930800627917,exact_call_budget,0.0002985410101246089,stage033-exact-deadline-v1,2014,20,0.015475628038984723,1384,0.0018263200327055529,6172,0.0003748350136447698,120.0,20
serial_wall_clock,cpu_batch,66,128,0,9784,67,,67,c104C10,0,0.04758539772592485,wall_clock,0.0006013800739310682,stage033-exact-deadline-v1,2014,67,0.054201961975195445,4726,0.006616564249270596,21191,0.0011138739791931584,,66
parallel_wall_clock,cpu_batch,67,128,0,9858,67,,67,c104C10,0,0.048510053296922706,wall_clock,0.0009983309137169272,stage033-exact-deadline-v1,2014,67,0.05508091898809653,4756,0.006570865691173822,21191,0.0014245380589272827,,67
serial_fixed_exact_calls,cpu_batch,13,128,0,1608,14,100,14,c104C10,0,0.007556891985586844,exact_call_budget,0.00021654101146850735,stage033-exact-deadline-v1,2015,14,0.00856670799839776,744,0.0010098160128109157,3520,0.00021383202692959458,120.0,13
parallel_fixed_exact_calls,cpu_batch,14,128,0,1728,14,100,14,c104C10,0,0.007913041059509851,exact_call_budget,0.00023046002024784684,stage033-exact-deadline-v1,2015,14,0.009097545000258833,800,0.0011845039407489821,3520,0.00029683300817850977,120.0,14
serial_wall_clock,cpu_batch,58,128,0,7344,59,,59,c104C10,0,0.03696704434696585,wall_clock,0.0006157960015116259,stage033-exact-deadline-v1,2015,59,0.04171266696357634,3358,0.00474562261661049,15091,0.0012700430525001138,,58
parallel_wall_clock,cpu_batch,59,128,0,7464,59,,59,c104C10,0,0.036301425483543426,wall_clock,0.000895795994438231,stage033-exact-deadline-v1,2015,59,0.041184920963132754,3414,0.004883495479589328,15091,0.0015003349835751578,,59
serial_fixed_exact_calls,cpu_batch,13,128,0,1542,14,100,14,c104C10,0,0.007842986771720462,exact_call_budget,0.00011445998097769916,stage033-exact-deadline-v1,2016,14,0.008878583976184018,706,0.0010355972044635564,3346,0.0002187930076615885,120.0,13
parallel_fixed_exact_calls,cpu_batch,14,128,0,1662,14,100,14,c104C10,0,0.007696212691371329,exact_call_budget,0.0002046639856416732,stage033-exact-deadline-v1,2016,14,0.008698624005774036,762,0.001002411314402707,3346,0.00027241799398325384,120.0,14
serial_wall_clock,cpu_batch,93,128,0,12562,94,,94,c104C10,0,0.059101315651787445,wall_clock,0.000822504996904172,stage033-exact-deadline-v1,2016,94,0.06711821093631443,5916,0.008016895284526981,26508,0.0015642070211470127,,93
parallel_wall_clock,cpu_batch,94,128,0,12682,94,,94,c104C10,0,0.060733594189514406,wall_clock,0.0013127490237820894,stage033-exact-deadline-v1,2016,94,0.06888392601103988,5972,0.00815033182152547,26508,0.0019302020373288542,,94
serial_fixed_exact_calls,cpu_batch,16,128,0,2088,18,100,18,c106C15,0,0.009812630785745569,exact_call_budget,0.0001543350372230634,stage033-exact-deadline-v1,2014,18,0.010929124968242832,966,0.001116494182497263,3572,0.0002679150056792423,120.0,16
