aggregation,axis,evaluation_count,instance,label,mean_duration_seconds,seed,total_duration_seconds
route,serial_wall_clock,2,c101_21,11568,0.006580291497812141,2015,0.013160582995624281
route,serial_wall_clock,1,c101_21,13113,0.014071625002543442,2015,0.014071625002543442
route,serial_wall_clock,1,c101_21,13586,0.014925416995538399,2015,0.014925416995538399
route,serial_wall_clock,151,c101_21,13732,0.0011947233239898076,2015,0.18040322192246094
route,serial_wall_clock,151,c101_21,16123,0.0011947497223204755,2015,0.1804072080703918
route,serial_wall_clock,1,c101_21,16304,0.01147795800352469,2015,0.01147795800352469
route,serial_wall_clock,1,c101_21,16527,0.011679417002596892,2015,0.011679417002596892
route,serial_wall_clock,141,c101_21,17720,0.0012794279008121264,2015,0.1803993340145098
route,serial_wall_clock,1,c101_21,18005,0.002861957997083664,2015,0.002861957997083664
route,serial_wall_clock,1,c101_21,18107,0.005332374988938682,2015,0.005332374988938682
route,serial_wall_clock,152,c101_21,19474,0.0011868316969890944,2015,0.18039841794234235
route,serial_wall_clock,151,c101_21,22023,0.001194705013440157,2015,0.18040045702946372
route,serial_wall_clock,146,c101_21,24888,0.0012356164249829145,2015,0.1803999980475055
route,serial_wall_clock,3,c101_21,25159,0.00382611099727607,2015,0.01147833299182821
route,serial_wall_clock,2,c101_21,25173,0.005431666999356821,2015,0.010863333998713642
route,serial_wall_clock,146,c101_21,25455,0.0012361018487678087,2015,0.18047086992010009
route,serial_wall_clock,2,c101_21,25803,0.003251062997151166,2015,0.006502125994302332
route,serial_wall_clock,6,c101_21,26,0.0007164516694804964,2015,0.004298710016882978
route,serial_wall_clock,141,c101_21,3197,0.0012794034539041579,2015,0.18039588700048625
route,serial_wall_clock,1,c101_21,4508,0.016406082999310456,2015,0.016406082999310456
route,serial_wall_clock,147,c101_21,5121,0.001227204380719289,2015,0.18039904396573547
route,serial_wall_clock,153,c101_21,547,0.0011790719086241914,2015,0.1803980020195013
route,serial_wall_clock,3,c101_21,7461,0.00453400033681343,2015,0.01360200101044029
route,serial_wall_clock,148,c101_21,8203,0.0012188983714008213,2015,0.18039695896732155
operator,parallel_wall_clock,315,c101_21,energy,0.0001786900951715541,2015,0.05628737997903954
