axis,effective_iterations,effective_iterations_per_second,instance,peak_rss_bytes,runtime_seconds,seed,started_calls
serial_fixed_exact_calls,50,3228.7141698069677,c101C5,2205302784,0.015486040996620432,2014,2
parallel_fixed_exact_calls,50,271.87623879846115,c101C5,2205302784,0.18390720800380222,2014,2
serial_wall_clock,1000,5381.611149712078,c101C5,2205302784,0.18581795900536235,2014,2
parallel_wall_clock,1000,3211.247071700926,c101C5,2205302784,0.31140550000418443,2014,2
serial_fixed_exact_calls,50,3282.715610211951,c101C5,2205302784,0.015231291996315122,2015,2
parallel_fixed_exact_calls,50,348.05065526884607,c101C5,2205302784,0.14365725000970997,2015,2
serial_wall_clock,1000,5412.175510384033,c101C5,2205302784,0.18476858299982268,2015,2
parallel_wall_clock,1000,3215.2208555456764,c101C5,2205302784,0.31102062499849126,2015,2
serial_fixed_exact_calls,50,3288.9056988942652,c101C5,2205302784,0.015202624999801628,2016,2
parallel_fixed_exact_calls,50,350.7181392321339,c101C5,2205302784,0.14256462499906775,2016,2
serial_wall_clock,1000,5388.218909313222,c101C5,2205302784,0.1855900840018876,2016,2
parallel_wall_clock,1000,3183.9347111246702,c101C5,2205302784,0.3140767919976497,2016,2
serial_fixed_exact_calls,50,2.990803004172725,c101_21,2205302784,16.7179182079999,2014,22
parallel_fixed_exact_calls,50,2.938123011903364,c101_21,2205302784,17.017667332998826,2014,22
serial_wall_clock,100,3.2633809585962896,c101_21,2205302784,30.643066583012114,2014,24
parallel_wall_clock,97,3.1989705251151688,c101_21,2205302784,30.322254999991856,2014,24
serial_fixed_exact_calls,50,2.9436662278121783,c101_21,2205302784,16.985621375002665,2015,22
parallel_fixed_exact_calls,50,2.9518048999252806,c101_21,2205302784,16.938788874991587,2015,22
serial_wall_clock,100,3.298116022956669,c101_21,2205302784,30.320340249993023,2015,26
parallel_wall_clock,100,3.2934491383049553,c101_21,2205302784,30.363304790997063,2015,26
serial_fixed_exact_calls,50,2.8435211248580146,c101_21,2208759808,17.58383279199188,2016,20
parallel_fixed_exact_calls,50,2.8413667299920013,c101_21,2208759808,17.59716529099387,2016,20
serial_wall_clock,100,3.2926782914813253,c101_21,2208759808,30.370413124997867,2016,22
parallel_wall_clock,97,3.2307941714235495,c101_21,2208759808,30.023577750005643,2016,22
serial_fixed_exact_calls,52,422.0011397759574,c104C10,2205302784,0.1232224160048645,2014,20
parallel_fixed_exact_calls,52,196.50442510258128,c104C10,2205302784,0.2646250840043649,2014,20
serial_wall_clock,1000,768.653219756363,c104C10,2205302784,1.3009767920011654,2014,67
parallel_wall_clock,1000,688.655770465421,c104C10,2205302784,1.452104291995056,2014,67
serial_fixed_exact_calls,50,392.4354149503437,c104C10,2205302784,0.12740949999715667,2015,14
parallel_fixed_exact_calls,50,186.51864983838684,c104C10,2205302784,0.26806970800680574,2015,14
serial_wall_clock,1000,715.1433969977853,c104C10,2205302784,1.398320958003751,2015,59
parallel_wall_clock,1000,670.2819440420515,c104C10,2205302784,1.4919095000077505,2015,59
serial_fixed_exact_calls,50,466.0071113096472,c104C10,2205302784,0.10729449999053031,2016,14
parallel_fixed_exact_calls,50,201.12799336792133,c104C10,2205302784,0.24859791599737946,2016,14
serial_wall_clock,1000,748.3780076070083,c104C10,2205302784,1.3362231249921024,2016,94
parallel_wall_clock,1000,657.0889922690797,c104C10,2205302784,1.521863875008421,2016,94
serial_fixed_exact_calls,51,270.8509908561468,c106C15,2205302784,0.18829541601007804,2014,18
parallel_fixed_exact_calls,51,150.76830864842782,c106C15,2205302784,0.3382673750020331,2014,18
serial_wall_clock,1000,445.8665854602789,c106C15,2205302784,2.242823374996078,2014,58
parallel_wall_clock,1000,408.3361555022934,c106C15,2205302784,2.4489626659924397,2014,58
serial_fixed_exact_calls,70,302.6507881262636,c106C15,2205302784,0.23128966699005105,2015,16
parallel_fixed_exact_calls,70,184.1268212957575,c106C15,2205302784,0.38017274999583606,2015,16
serial_wall_clock,1000,404.06955974205596,c106C15,2205302784,2.474821415991755,2015,67
parallel_wall_clock,1000,395.2923644086953,c106C15,2205302784,2.5297731250029756,2015,67
serial_fixed_exact_calls,50,280.9630006909494,c106C15,2205302784,0.177959374996135,2016,12
parallel_fixed_exact_calls,50,154.57941533842634,c106C15,2205302784,0.3234583329904126,2016,12
serial_wall_clock,1000,436.8604182738813,c106C15,2205302784,2.28906066599302,2016,51
parallel_wall_clock,1000,417.0137219917748,c106C15,2205302784,2.398002625006484,2016,51
serial_fixed_exact_calls,59,3.3817975815757886,r101_21,2208759808,17.446342833005474,2014,30
parallel_fixed_exact_calls,59,3.4334732312681515,r101_21,2208759808,17.183765833004145,2014,30
serial_wall_clock,112,3.709779193016381,r101_21,2208759808,30.190476083007525,2014,32
parallel_wall_clock,109,3.630625577440608,r101_21,2208759808,30.022374291991582,2014,32
serial_fixed_exact_calls,55,3.2733551186003327,r101_21,3000107008,16.80233216600027,2015,25
parallel_fixed_exact_calls,55,3.1815407851456197,r101_21,3000107008,17.287221416991088,2015,25
serial_wall_clock,109,3.6129920776192095,r101_21,3000107008,30.168900916003622,2015,32
parallel_wall_clock,109,3.5766642671970517,r101_21,3000107008,30.475323334001587,2015,32
serial_fixed_exact_calls,99,3.8733404689763664,r101_21,3000107008,25.559333292010706,2016,35
parallel_fixed_exact_calls,99,3.8241178868169277,r101_21,3000107008,25.888323249993846,2016,35
serial_wall_clock,118,3.8533445632753196,r101_21,3000107008,30.62274812499527,2016,36
parallel_wall_clock,118,3.8991154489423443,r101_21,3000107008,30.263274208002258,2016,36
serial_fixed_exact_calls,126,845.0250825030367,r103C10,2205302784,0.14910799999779556,2014,27
parallel_fixed_exact_calls,126,428.4805833906417,r103C10,2205302784,0.29406233300687745,2014,27
serial_wall_clock,1000,976.6409059655074,r103C10,2205302784,1.0239177919866052,2014,138
parallel_wall_clock,1000,848.4547109551703,r103C10,2205302784,1.1786132920096861,2014,138
serial_fixed_exact_calls,103,774.873777404229,r103C10,2205302784,0.1329248749971157,2015,32
parallel_fixed_exact_calls,103,374.5122019448037,r103C10,2205302784,0.2750244170019869,2015,32
serial_wall_clock,1000,1095.3773350229515,r103C10,2205302784,0.9129274159931811,2015,86
parallel_wall_clock,1000,941.6608165983761,r103C10,2205302784,1.0619535000005271,2015,86
serial_fixed_exact_calls,50,671.7439311904758,r103C10,2205302784,0.07443312500254251,2016,14
parallel_fixed_exact_calls,50,233.75140458196512,r103C10,2205302784,0.21390245799557306,2016,14
serial_wall_clock,1000,1072.0245504689133,r103C10,2205302784,0.9328144579922082,2016,102
parallel_wall_clock,1000,872.9008371542578,r103C10,2205302784,1.1456055000016931,2016,102
serial_fixed_exact_calls,51,283.4465812625275,r105C15,2205302784,0.1799280830018688,2014,12
parallel_fixed_exact_calls,51,153.11389759665997,r105C15,2205302784,0.33308537500852253,2014,12
serial_wall_clock,1000,431.37312776819107,r105C15,2205302784,2.3181787080102367,2014,67
parallel_wall_clock,1000,397.71201574995,r105C15,2205302784,2.514382166991709,2014,67
serial_fixed_exact_calls,60,251.04479929986462,r105C15,2205302784,0.23900116699223872,2015,16
parallel_fixed_exact_calls,60,167.6630588859453,r105C15,2205302784,0.3578605829970911,2015,16
serial_wall_clock,1000,447.52168650266754,r105C15,2205302784,2.234528582994244,2015,66
parallel_wall_clock,1000,403.34895929727566,r105C15,2205302784,2.479242792003788,2015,66
serial_fixed_exact_calls,66,310.7850653493284,r105C15,2205302784,0.2123654169990914,2016,14
parallel_fixed_exact_calls,66,151.58405335661342,r105C15,2205302784,0.43540200000279583,2016,14
serial_wall_clock,1000,461.9889185756042,r105C15,2205302784,2.164554082992254,2016,67
parallel_wall_clock,1000,427.905882100311,r105C15,2205302784,2.336962500005029,2016,67
serial_fixed_exact_calls,50,3038.313128298438,r105C5,2205302784,0.016456500001368113,2014,2
parallel_fixed_exact_calls,50,349.543203686953,r105C5,2205302784,0.14304383398848586,2014,2
serial_wall_clock,1000,5155.464102967725,r105C5,2205302784,0.1939689579885453,2014,2
parallel_wall_clock,1000,3097.156245945816,r105C5,2205302784,0.32287683300091885,2014,2
serial_fixed_exact_calls,50,2828.5742557324616,r105C5,2205302784,0.017676750008831732,2015,2
parallel_fixed_exact_calls,50,344.1138466025596,r105C5,2205302784,0.14530075000948273,2015,2
serial_wall_clock,1000,5012.451782232761,r105C5,2205302784,0.1995031660044333,2015,2
parallel_wall_clock,1000,3044.698837056962,r105C5,2205302784,0.32843970898829866,2015,2
serial_fixed_exact_calls,50,2963.284841852014,r105C5,2205302784,0.016873166998266242,2016,2
parallel_fixed_exact_calls,50,347.7039370296939,r105C5,2205302784,0.1438005000090925,2016,2
serial_wall_clock,1000,5056.162359975429,r105C5,2205302784,0.1977784589980729,2016,2
parallel_wall_clock,1000,3041.8775309689413,r105C5,2205302784,0.32874433300457895,2016,2
serial_fixed_exact_calls,78,3.561213759375533,rc101_21,3165618176,21.90264479200414,2014,32
parallel_fixed_exact_calls,78,3.5413108228901375,rc101_21,3165618176,22.025742416008143,2014,32
serial_wall_clock,106,3.493739693600869,rc101_21,3165618176,30.339982167002745,2014,34
parallel_wall_clock,109,3.564370142431452,rc101_21,3165618176,30.58043795800768,2014,34
serial_fixed_exact_calls,92,3.621300986489698,rc101_21,3165618176,25.405234290999942,2015,35
parallel_fixed_exact_calls,92,3.581348142242259,rc101_21,3165618176,25.688650292009697,2015,35
serial_wall_clock,109,3.601213643688901,rc101_21,3165618176,30.267573874996742,2015,37
parallel_wall_clock,109,3.571295671720539,rc101_21,3165618176,30.521135750008398,2015,37
serial_fixed_exact_calls,67,3.5457827197941243,rc101_21,3165618176,18.89568687499559,2016,33
parallel_fixed_exact_calls,67,3.4871209021823626,rc101_21,3165618176,19.21355808399676,2016,33
serial_wall_clock,121,3.978393939864036,rc101_21,3165618176,30.41428320799605,2016,36
parallel_wall_clock,115,3.764011769102437,rc101_21,3165618176,30.55250808299752,2016,35
serial_fixed_exact_calls,74,839.3531875463859,rc102C10,2205302784,0.08816312500857748,2014,19
parallel_fixed_exact_calls,74,311.6161773135493,rc102C10,2205302784,0.23747162499057595,2014,19
serial_wall_clock,1000,1235.5552639611742,rc102C10,2205302784,0.809352708994993,2014,56
parallel_wall_clock,1000,1022.4115160355339,rc102C10,2205302784,0.9780797499988694,2014,56
serial_fixed_exact_calls,68,808.5376054010657,rc102C10,2205302784,0.08410245800041594,2015,22
parallel_fixed_exact_calls,68,285.0501165514572,rc102C10,2205302784,0.23855454199656378,2015,22
serial_wall_clock,1000,1225.740050287969,rc102C10,2205302784,0.8158336669876007,2015,52
parallel_wall_clock,1000,972.4581217804729,rc102C10,2205302784,1.028321917008725,2015,52
serial_fixed_exact_calls,50,778.267654165252,rc102C10,2205302784,0.06424524998874404,2016,16
parallel_fixed_exact_calls,50,230.29924352158795,rc102C10,2205302784,0.21710883299238048,2016,16
serial_wall_clock,1000,1141.9513040257627,rc102C10,2205302784,0.8756940829916857,2016,78
parallel_wall_clock,1000,981.7174349829314,rc102C10,2205302784,1.0186230419931235,2016,78
serial_fixed_exact_calls,61,332.7312062130031,rc103C15,2205302784,0.18333116600115318,2014,21
parallel_fixed_exact_calls,61,178.41652427080896,rc103C15,2205302784,0.3418965830060188,2014,21
serial_wall_clock,1000,417.48930899794675,rc103C15,2205302784,2.395270916997106,2014,139
parallel_wall_clock,1000,394.9888878407815,rc103C15,2205302784,2.531716792000225,2014,139
serial_fixed_exact_calls,63,333.4933166138953,rc103C15,2205302784,0.1889093329955358,2015,24
parallel_fixed_exact_calls,63,179.08544898992642,rc103C15,2205302784,0.3517873749951832,2015,24
serial_wall_clock,1000,424.11985152407385,rc103C15,2205302784,2.3578240829956485,2015,158
parallel_wall_clock,1000,385.39792145830825,rc103C15,2205302784,2.594720791996224,2015,158
serial_fixed_exact_calls,63,237.5726483020403,rc103C15,2205302784,0.2651820419996511,2016,22
parallel_fixed_exact_calls,63,173.33349092642945,rc103C15,2205302784,0.3634612080059014,2016,22
